#Insert size (bp)	insert size
144.0	1.0
146.0	3.0
147.0	6.0
148.0	2.0
149.0	22.0
150.0	4680.0
151.0	9573.0
152.0	9420.0
153.0	9462.0
154.0	9480.0
155.0	9599.0
156.0	9598.0
157.0	9306.0
158.0	9393.0
159.0	9391.0
160.0	9330.0
161.0	9335.0
162.0	9228.0
163.0	9532.0
164.0	9303.0
165.0	9220.0
166.0	9444.0
167.0	9265.0
168.0	9319.0
169.0	9548.0
170.0	9299.0
171.0	9439.0
172.0	9183.0
173.0	9000.0
174.0	9320.0
175.0	9351.0
176.0	9238.0
177.0	9170.0
178.0	9184.0
179.0	9093.0
180.0	9282.0
181.0	9141.0
182.0	9360.0
183.0	9082.0
184.0	9106.0
185.0	8873.0
186.0	9008.0
187.0	9035.0
188.0	9211.0
189.0	9111.0
190.0	8884.0
191.0	8937.0
192.0	8864.0
193.0	8804.0
194.0	8729.0
195.0	8727.0
196.0	8855.0
197.0	8984.0
198.0	8769.0
199.0	8899.0
200.0	8736.0
201.0	8792.0
202.0	8719.0
203.0	8681.0
204.0	8532.0
205.0	8591.0
206.0	8514.0
207.0	8764.0
208.0	8624.0
209.0	8592.0
210.0	8655.0
211.0	8369.0
212.0	8473.0
213.0	8380.0
214.0	8375.0
215.0	8038.0
216.0	8187.0
217.0	8141.0
218.0	8341.0
219.0	8291.0
220.0	8104.0
221.0	8063.0
222.0	8203.0
223.0	7840.0
224.0	7837.0
225.0	8031.0
226.0	7741.0
227.0	7651.0
228.0	7797.0
229.0	7963.0
230.0	7933.0
231.0	7585.0
232.0	7673.0
233.0	7551.0
234.0	7366.0
235.0	7347.0
236.0	7323.0
237.0	7338.0
238.0	7493.0
239.0	7339.0
240.0	7393.0
241.0	7143.0
242.0	7179.0
243.0	7192.0
244.0	6971.0
245.0	7011.0
246.0	6846.0
247.0	6780.0
248.0	6971.0
249.0	6744.0
250.0	6893.0
251.0	6712.0
252.0	6717.0
253.0	6654.0
254.0	6533.0
255.0	6406.0
256.0	6566.0
257.0	6243.0
258.0	6287.0
259.0	6205.0
260.0	6215.0
261.0	6202.0
262.0	6069.0
263.0	5895.0
264.0	5577.0
265.0	5450.0
266.0	5170.0
267.0	5191.0
268.0	5031.0
269.0	5108.0
270.0	5076.0
271.0	4763.0
272.0	4905.0
273.0	4797.0
274.0	4674.0
275.0	4765.0
276.0	4673.0
277.0	4592.0
278.0	4622.0
279.0	4682.0
280.0	4777.0
281.0	4785.0
282.0	4600.0
283.0	4747.0
284.0	4672.0
285.0	4677.0
286.0	4540.0
287.0	4608.0
288.0	4590.0
289.0	4594.0
290.0	4649.0
291.0	4556.0
292.0	4671.0
293.0	4657.0
294.0	4578.0
295.0	4608.0
296.0	4520.0
297.0	4532.0
298.0	4509.0
299.0	4453.0
300.0	4290.0
301.0	4535.0
302.0	4473.0
303.0	4548.0
304.0	4430.0
305.0	4575.0
306.0	4381.0
307.0	4424.0
308.0	4420.0
309.0	4427.0
310.0	4485.0
311.0	4426.0
312.0	4410.0
313.0	4391.0
314.0	4346.0
315.0	4471.0
316.0	4295.0
317.0	4418.0
318.0	4295.0
319.0	4360.0
320.0	4145.0
321.0	4211.0
322.0	4309.0
323.0	4205.0
324.0	4323.0
325.0	4234.0
326.0	4314.0
327.0	4219.0
328.0	4257.0
329.0	4122.0
330.0	4242.0
331.0	4064.0
332.0	4250.0
333.0	4211.0
334.0	4141.0
335.0	3977.0
336.0	4083.0
337.0	4182.0
338.0	4047.0
339.0	3975.0
340.0	4116.0
341.0	4096.0
342.0	3922.0
343.0	3963.0
344.0	3993.0
345.0	3940.0
346.0	3867.0
347.0	3967.0
348.0	3859.0
349.0	3987.0
350.0	3976.0
351.0	4028.0
352.0	3800.0
353.0	3950.0
354.0	3889.0
355.0	3926.0
356.0	3937.0
357.0	3796.0
358.0	3915.0
359.0	3793.0
360.0	3830.0
361.0	3886.0
362.0	3707.0
363.0	3802.0
364.0	3762.0
365.0	3755.0
366.0	3799.0
367.0	3745.0
368.0	3675.0
369.0	3743.0
370.0	3621.0
371.0	3620.0
372.0	3661.0
373.0	3635.0
374.0	3665.0
375.0	3603.0
376.0	3501.0
377.0	3523.0
378.0	3515.0
379.0	3540.0
380.0	3441.0
381.0	3393.0
382.0	3387.0
383.0	3418.0
384.0	3460.0
385.0	3449.0
386.0	3578.0
387.0	3368.0
388.0	3364.0
389.0	3426.0
390.0	3300.0
391.0	3336.0
392.0	3255.0
393.0	3169.0
394.0	3413.0
395.0	3323.0
396.0	3278.0
397.0	3333.0
398.0	3252.0
399.0	3230.0
400.0	3092.0
401.0	3306.0
402.0	3140.0
403.0	3182.0
404.0	3177.0
405.0	3105.0
406.0	3225.0
407.0	3182.0
408.0	3132.0
409.0	3015.0
410.0	3073.0
411.0	2929.0
412.0	2981.0
413.0	3049.0
414.0	3003.0
415.0	2942.0
416.0	3007.0
417.0	2919.0
418.0	2959.0
419.0	2888.0
420.0	2896.0
421.0	2835.0
422.0	2844.0
423.0	2810.0
424.0	2772.0
425.0	2725.0
