#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	5.608535443139733E-6
4.0	3.739023628759822E-6
5.0	5.608535443139733E-6
6.0	2.8042677215698667E-5
7.0	4.860730717387769E-5
8.0	5.421584261701742E-5
9.0	1.1964875612031429E-4
10.0	1.2525729156345403E-4
11.0	1.850816696236112E-4
12.0	2.1686337046806966E-4
13.0	2.860353076001264E-4
14.0	3.608157801753228E-4
15.0	4.692474654093577E-4
16.0	5.103767253257157E-4
17.0	6.805023004342876E-4
18.0	8.674534818722788E-4
19.0	0.0010263619860945712
20.0	0.001196487561203143
21.0	0.0014301765380006321
22.0	0.001865772790751151
23.0	0.0021368520038362385
24.0	0.002768746997096648
25.0	0.004219488165055458
26.0	0.004513001519913105
27.0	0.006784458374384697
28.0	0.009699027293002978
29.0	0.012804286416688009
30.0	0.017315418424786736
31.0	0.02292208435611209
32.0	0.02965045737606539
33.0	0.03713411316902817
34.0	0.04542539806580308
35.0	0.05386437439591399
36.0	0.06113303633022309
37.0	0.06681074371049489
38.0	0.0708096294814535
39.0	0.07107696967090983
40.0	0.06928036881729074
41.0	0.06614332799276125
42.0	0.06089747784161122
43.0	0.053139003811934586
44.0	0.045795561405050304
45.0	0.038242733674955454
46.0	0.0318265691280036
47.0	0.025382361903836054
48.0	0.01974952280710938
49.0	0.015576772437413417
50.0	0.012456557219213347
51.0	0.011104900177416673
52.0	0.006909715665948152
53.0	0.005210329426676812
54.0	0.00336325175406946
55.0	0.0022078934527826753
56.0	0.0013834387426411342
57.0	9.160607890461563E-4
58.0	6.206779223741305E-4
59.0	3.944669928341612E-4
60.0	2.9725237848640586E-4
61.0	2.2060239409682947E-4
62.0	1.196487561203143E-4
63.0	6.356340168891698E-5
64.0	3.7390236287598225E-5
65.0	2.9912189030078578E-5
66.0	2.056462995817902E-5
67.0	1.6825606329419197E-5
68.0	1.1217070886279466E-5
69.0	5.608535443139733E-6
70.0	3.739023628759822E-6
71.0	0.0
72.0	3.739023628759822E-6
73.0	0.0
74.0	1.869511814379911E-6
75.0	3.739023628759822E-6
76.0	1.869511814379911E-6
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	1.869511814379911E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.608535443139733E-6
