#Mapping quality	mapping quality
0.0	185359.0
1.0	168543.0
2.0	45170.0
3.0	33303.0
4.0	25942.0
5.0	21641.0
6.0	20877.0
7.0	20882.0
8.0	23188.0
9.0	28811.0
10.0	37575.0
11.0	30106.0
12.0	20570.0
13.0	17982.0
14.0	17116.0
15.0	17283.0
16.0	17055.0
17.0	18669.0
18.0	18009.0
19.0	16979.0
20.0	17146.0
21.0	17239.0
22.0	16169.0
23.0	15099.0
24.0	14689.0
25.0	14206.0
26.0	14418.0
27.0	14116.0
28.0	13895.0
29.0	14193.0
30.0	15519.0
31.0	17006.0
32.0	18504.0
33.0	20062.0
34.0	21653.0
35.0	25611.0
36.0	30342.0
37.0	38909.0
38.0	65518.0
39.0	145187.0
40.0	449110.0
41.0	1399589.0
42.0	3510714.0
43.0	5316375.0
44.0	138331.0
