#Duplication rate	Coverage
1.0	1630527.0
2.0	576451.0
3.0	194132.0
4.0	88167.0
5.0	39913.0
6.0	20775.0
7.0	11182.0
8.0	6461.0
9.0	3981.0
10.0	2573.0
11.0	1680.0
12.0	1193.0
13.0	824.0
14.0	710.0
15.0	513.0
16.0	423.0
17.0	344.0
18.0	303.0
19.0	313.0
20.0	296.0
21.0	227.0
22.0	197.0
23.0	170.0
24.0	152.0
25.0	158.0
26.0	118.0
27.0	117.0
28.0	119.0
29.0	108.0
30.0	92.0
31.0	82.0
32.0	91.0
33.0	71.0
34.0	89.0
35.0	76.0
36.0	53.0
37.0	75.0
38.0	52.0
39.0	52.0
40.0	65.0
41.0	47.0
42.0	45.0
43.0	54.0
44.0	36.0
45.0	34.0
46.0	31.0
47.0	35.0
48.0	33.0
49.0	46.0
50.0	833.0
