#Insert size (bp)	insert size
141.0	1.0
145.0	2.0
147.0	2.0
148.0	3.0
149.0	22.0
150.0	6432.0
151.0	12670.0
152.0	12632.0
153.0	12692.0
154.0	12742.0
155.0	12765.0
156.0	12920.0
157.0	12621.0
158.0	12649.0
159.0	12344.0
160.0	12488.0
161.0	12447.0
162.0	12534.0
163.0	12739.0
164.0	12715.0
165.0	12584.0
166.0	12793.0
167.0	12751.0
168.0	12664.0
169.0	12413.0
170.0	12436.0
171.0	12479.0
172.0	12452.0
173.0	12278.0
174.0	12507.0
175.0	12485.0
176.0	12712.0
177.0	12610.0
178.0	12451.0
179.0	12632.0
180.0	12201.0
181.0	12335.0
182.0	12164.0
183.0	12258.0
184.0	12216.0
185.0	12319.0
186.0	12378.0
187.0	12291.0
188.0	12379.0
189.0	12264.0
190.0	12393.0
191.0	12304.0
192.0	12070.0
193.0	12262.0
194.0	12013.0
195.0	12111.0
196.0	12341.0
197.0	12116.0
198.0	12161.0
199.0	12122.0
200.0	12040.0
201.0	11928.0
202.0	11923.0
203.0	11737.0
204.0	11569.0
205.0	11674.0
206.0	11973.0
207.0	11864.0
208.0	11849.0
209.0	11842.0
210.0	11850.0
211.0	11509.0
212.0	11540.0
213.0	11402.0
214.0	11294.0
215.0	11257.0
216.0	11275.0
217.0	11204.0
218.0	11617.0
219.0	11351.0
220.0	11553.0
221.0	11074.0
222.0	11112.0
223.0	10839.0
224.0	10894.0
225.0	10759.0
226.0	10858.0
227.0	10681.0
228.0	10662.0
229.0	11053.0
230.0	10750.0
231.0	10929.0
232.0	10610.0
233.0	10608.0
234.0	10237.0
235.0	10159.0
236.0	10108.0
237.0	10238.0
238.0	10038.0
239.0	10128.0
240.0	10057.0
241.0	9919.0
242.0	9935.0
243.0	9877.0
244.0	9741.0
245.0	9619.0
246.0	9546.0
247.0	9444.0
248.0	9284.0
249.0	9599.0
250.0	9496.0
251.0	9469.0
252.0	9177.0
253.0	9146.0
254.0	9037.0
255.0	8868.0
256.0	8643.0
257.0	8552.0
258.0	8306.0
259.0	8477.0
260.0	8494.0
261.0	8355.0
262.0	8091.0
263.0	7729.0
264.0	7247.0
265.0	6779.0
266.0	6120.0
267.0	6290.0
268.0	6045.0
269.0	5994.0
270.0	5935.0
271.0	5262.0
272.0	5384.0
273.0	5333.0
274.0	5309.0
275.0	5311.0
276.0	5360.0
277.0	5336.0
278.0	5308.0
279.0	5186.0
280.0	5228.0
281.0	5181.0
282.0	5156.0
283.0	5112.0
284.0	5200.0
285.0	5092.0
286.0	5279.0
287.0	5155.0
288.0	5229.0
289.0	5015.0
290.0	4987.0
291.0	5032.0
292.0	4961.0
293.0	5109.0
294.0	4851.0
295.0	5152.0
