#Mapping quality	mapping quality
0.0	230112.0
1.0	137422.0
2.0	47336.0
3.0	32428.0
4.0	26804.0
5.0	21763.0
6.0	21453.0
7.0	22885.0
8.0	24459.0
9.0	29832.0
10.0	36325.0
11.0	27723.0
12.0	20228.0
13.0	17759.0
14.0	18245.0
15.0	18822.0
16.0	17831.0
17.0	17462.0
18.0	17872.0
19.0	17547.0
20.0	16850.0
21.0	15193.0
22.0	16124.0
23.0	14715.0
24.0	14690.0
25.0	14596.0
26.0	13569.0
27.0	13246.0
28.0	12469.0
29.0	13260.0
30.0	13774.0
31.0	14996.0
32.0	15702.0
33.0	16657.0
34.0	20815.0
35.0	26078.0
36.0	37026.0
37.0	58970.0
38.0	126723.0
39.0	321560.0
40.0	899408.0
41.0	2221863.0
42.0	3858508.0
43.0	3416818.0
44.0	65592.0
