#Duplication rate	Coverage
1.0	1966238.0
2.0	741747.0
3.0	303595.0
4.0	147915.0
5.0	75993.0
6.0	42097.0
7.0	24838.0
8.0	15325.0
9.0	9572.0
10.0	6208.0
11.0	4304.0
12.0	3076.0
13.0	2225.0
14.0	1576.0
15.0	1189.0
16.0	947.0
17.0	822.0
18.0	622.0
19.0	517.0
20.0	442.0
21.0	394.0
22.0	313.0
23.0	312.0
24.0	223.0
25.0	217.0
26.0	232.0
27.0	186.0
28.0	182.0
29.0	158.0
30.0	145.0
31.0	141.0
32.0	145.0
33.0	130.0
34.0	91.0
35.0	104.0
36.0	124.0
37.0	94.0
38.0	95.0
39.0	97.0
40.0	76.0
41.0	75.0
42.0	74.0
43.0	63.0
44.0	65.0
45.0	51.0
46.0	62.0
47.0	65.0
48.0	48.0
49.0	49.0
50.0	1645.0
