#Insert size (bp)	insert size
140.0	2.0
146.0	1.0
147.0	3.0
148.0	6.0
149.0	25.0
150.0	8769.0
151.0	17624.0
152.0	17558.0
153.0	17507.0
154.0	17825.0
155.0	17928.0
156.0	18100.0
157.0	17652.0
158.0	17885.0
159.0	17660.0
160.0	17354.0
161.0	17406.0
162.0	17347.0
163.0	17759.0
164.0	17520.0
165.0	17758.0
166.0	17767.0
167.0	17526.0
168.0	17542.0
169.0	17486.0
170.0	17307.0
171.0	17446.0
172.0	17146.0
173.0	17304.0
174.0	17589.0
175.0	17358.0
176.0	17717.0
177.0	17460.0
178.0	17321.0
179.0	17175.0
180.0	16942.0
181.0	17335.0
182.0	16840.0
183.0	16998.0
184.0	17062.0
185.0	16930.0
186.0	16974.0
187.0	16913.0
188.0	16985.0
189.0	16949.0
190.0	16822.0
191.0	16768.0
192.0	16393.0
193.0	16439.0
194.0	16599.0
195.0	16347.0
196.0	16307.0
197.0	16560.0
198.0	16368.0
199.0	16148.0
200.0	16118.0
201.0	16177.0
202.0	15998.0
203.0	15627.0
204.0	15699.0
205.0	15853.0
206.0	15842.0
207.0	15444.0
208.0	15891.0
209.0	15698.0
210.0	15485.0
211.0	15217.0
212.0	15225.0
213.0	15115.0
214.0	15273.0
215.0	15022.0
216.0	14795.0
217.0	15121.0
218.0	15134.0
219.0	14825.0
220.0	14859.0
221.0	14436.0
222.0	14879.0
223.0	14586.0
224.0	14434.0
225.0	14339.0
226.0	14015.0
227.0	14384.0
228.0	14031.0
229.0	14216.0
230.0	14113.0
231.0	14030.0
232.0	13810.0
233.0	13715.0
234.0	13586.0
235.0	13277.0
236.0	13538.0
237.0	13412.0
238.0	13419.0
239.0	13480.0
240.0	13600.0
241.0	13604.0
242.0	13291.0
243.0	13214.0
244.0	12805.0
245.0	12721.0
246.0	12728.0
247.0	12635.0
248.0	12750.0
249.0	12624.0
250.0	12737.0
251.0	12838.0
252.0	12430.0
253.0	12357.0
254.0	12191.0
255.0	12322.0
256.0	11903.0
257.0	11965.0
258.0	11927.0
259.0	11636.0
260.0	11727.0
261.0	11734.0
262.0	11584.0
263.0	11416.0
264.0	11072.0
265.0	10950.0
266.0	10947.0
267.0	10635.0
268.0	10651.0
269.0	10571.0
270.0	10671.0
271.0	10383.0
272.0	10177.0
273.0	10330.0
274.0	10078.0
275.0	10211.0
276.0	10190.0
277.0	10147.0
278.0	10018.0
279.0	9996.0
280.0	10132.0
281.0	10064.0
282.0	9831.0
283.0	9842.0
284.0	9866.0
285.0	9790.0
286.0	9938.0
287.0	9832.0
288.0	9662.0
289.0	9476.0
290.0	9510.0
291.0	9393.0
292.0	9519.0
293.0	9573.0
294.0	9569.0
295.0	9437.0
296.0	9344.0
297.0	9423.0
298.0	9081.0
299.0	9146.0
300.0	9328.0
301.0	9078.0
302.0	9226.0
303.0	8958.0
304.0	9161.0
305.0	8900.0
306.0	8741.0
307.0	8732.0
308.0	8613.0
309.0	8678.0
310.0	8609.0
311.0	8764.0
312.0	8359.0
313.0	8600.0
314.0	8517.0
315.0	8527.0
316.0	8456.0
317.0	8397.0
318.0	8336.0
319.0	8360.0
320.0	8110.0
321.0	8342.0
322.0	8179.0
323.0	8026.0
324.0	8033.0
325.0	8084.0
326.0	7942.0
327.0	8028.0
328.0	8023.0
329.0	7929.0
330.0	7984.0
331.0	7740.0
332.0	7553.0
333.0	7518.0
334.0	7494.0
335.0	7632.0
336.0	7532.0
337.0	7394.0
338.0	7423.0
339.0	7345.0
340.0	7328.0
341.0	7377.0
342.0	7239.0
343.0	7288.0
344.0	7142.0
345.0	7190.0
346.0	6981.0
347.0	6901.0
348.0	6938.0
349.0	7046.0
350.0	6795.0
351.0	6813.0
352.0	6886.0
353.0	6768.0
354.0	6588.0
355.0	6692.0
356.0	6717.0
357.0	6621.0
358.0	6445.0
359.0	6513.0
360.0	6430.0
361.0	6345.0
362.0	6267.0
363.0	6433.0
364.0	6351.0
365.0	6075.0
366.0	6219.0
367.0	6023.0
368.0	6198.0
369.0	5902.0
370.0	6004.0
371.0	6017.0
372.0	5860.0
373.0	5873.0
374.0	5931.0
375.0	5816.0
376.0	5737.0
377.0	5606.0
378.0	5753.0
379.0	5568.0
380.0	5522.0
381.0	5490.0
382.0	5579.0
383.0	5416.0
384.0	5475.0
385.0	5357.0
386.0	5415.0
387.0	5389.0
388.0	5267.0
389.0	5161.0
390.0	5186.0
391.0	5175.0
392.0	5103.0
393.0	5083.0
394.0	5132.0
395.0	5080.0
396.0	4986.0
397.0	4852.0
398.0	4735.0
399.0	4838.0
400.0	4704.0
401.0	4658.0
402.0	4718.0
403.0	4609.0
404.0	4664.0
405.0	4633.0
406.0	4556.0
407.0	4506.0
408.0	4428.0
409.0	4398.0
410.0	4474.0
411.0	4404.0
412.0	4309.0
413.0	4167.0
414.0	4183.0
415.0	4201.0
416.0	4090.0
417.0	4109.0
418.0	4105.0
419.0	4046.0
420.0	4072.0
421.0	4012.0
422.0	3887.0
423.0	3937.0
424.0	3879.0
425.0	3807.0
426.0	3724.0
427.0	3683.0
428.0	3846.0
429.0	3688.0
430.0	3710.0
431.0	3656.0
432.0	3657.0
433.0	3508.0
434.0	3540.0
435.0	3580.0
436.0	3606.0
437.0	3408.0
438.0	3364.0
439.0	3428.0
440.0	3290.0
441.0	3241.0
442.0	3194.0
443.0	3321.0
444.0	3257.0
445.0	3092.0
446.0	3221.0
447.0	3087.0
448.0	3115.0
449.0	3155.0
450.0	2993.0
451.0	3109.0
452.0	3008.0
453.0	2967.0
454.0	2887.0
455.0	2931.0
456.0	2860.0
457.0	2856.0
458.0	2833.0
459.0	2848.0
460.0	2789.0
461.0	2751.0
462.0	2849.0
463.0	2700.0
464.0	2657.0
465.0	2697.0
466.0	2614.0
467.0	2581.0
468.0	2492.0
469.0	2522.0
470.0	2405.0
471.0	2469.0
472.0	2358.0
473.0	2434.0
474.0	2461.0
475.0	2389.0
476.0	2316.0
477.0	2355.0
478.0	2224.0
479.0	2231.0
480.0	2238.0
481.0	2231.0
482.0	2248.0
483.0	2274.0
484.0	2200.0
485.0	2147.0
486.0	2067.0
487.0	2106.0
488.0	2092.0
489.0	2001.0
490.0	2095.0
491.0	1948.0
492.0	2004.0
493.0	1874.0
494.0	1899.0
495.0	1899.0
496.0	1849.0
497.0	1916.0
498.0	1864.0
499.0	1723.0
500.0	1824.0
501.0	1745.0
502.0	1737.0
503.0	1759.0
504.0	1778.0
505.0	1718.0
506.0	1653.0
507.0	1677.0
508.0	1681.0
509.0	1586.0
510.0	1603.0
511.0	1622.0
512.0	1548.0
513.0	1543.0
514.0	1594.0
515.0	1561.0
516.0	1504.0
517.0	1460.0
518.0	1467.0
519.0	1447.0
520.0	1408.0
521.0	1368.0
522.0	1373.0
523.0	1316.0
524.0	1294.0
525.0	1283.0
526.0	1308.0
527.0	1305.0
528.0	1279.0
529.0	1253.0
530.0	1278.0
531.0	1236.0
532.0	1213.0
533.0	1146.0
534.0	1206.0
535.0	1158.0
536.0	1157.0
537.0	1100.0
538.0	1086.0
539.0	1079.0
540.0	1108.0
541.0	1067.0
542.0	1082.0
543.0	985.0
544.0	1051.0
545.0	1031.0
546.0	1040.0
547.0	1038.0
548.0	994.0
549.0	943.0
550.0	929.0
551.0	961.0
552.0	981.0
553.0	919.0
554.0	869.0
555.0	846.0
556.0	814.0
557.0	814.0
558.0	871.0
559.0	849.0
560.0	847.0
561.0	793.0
562.0	836.0
563.0	763.0
