#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.069286561313426E-6
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.069286561313426E-6
10.0	0.0
11.0	2.138573122626852E-6
12.0	0.0
13.0	4.277146245253704E-6
14.0	2.138573122626852E-6
15.0	6.415719367880557E-6
16.0	1.1762152174447687E-5
17.0	2.3524304348895373E-5
18.0	1.924715810364167E-5
19.0	3.1009310278089355E-5
20.0	5.0256468381731025E-5
21.0	7.912720553719352E-5
22.0	1.2510652767367084E-4
23.0	2.2668875099844633E-4
24.0	3.1223167590352044E-4
25.0	6.07354766826026E-4
26.0	8.479442431215468E-4
27.0	0.0015419112214139605
28.0	0.0026764242629675056
29.0	0.00460648650613824
30.0	0.007683893229598279
31.0	0.012954406690312155
32.0	0.020313236805271154
33.0	0.029530486963792887
34.0	0.03977852936742076
35.0	0.05070984588372792
36.0	0.06114180557590171
37.0	0.07051303299925257
38.0	0.07627007184536405
39.0	0.07858614653716894
40.0	0.07821724267351579
41.0	0.07524248745994186
42.0	0.06845679494184685
43.0	0.06085202891778576
44.0	0.05304516773363644
45.0	0.04448445952376114
46.0	0.03655676895818341
47.0	0.029082455894602566
48.0	0.023270883433864093
49.0	0.01804848786840932
50.0	0.0145187729295137
51.0	0.012974723134977112
52.0	0.008186457913415589
53.0	0.00621362420779232
54.0	0.004084674664217287
55.0	0.002670008543599625
56.0	0.001704442778733601
57.0	0.0012264716858264996
58.0	8.190735059660844E-4
59.0	5.485440059537876E-4
60.0	3.8066601582757974E-4
61.0	2.6197520752178937E-4
62.0	1.742937094940885E-4
63.0	9.944365020214862E-5
64.0	6.950362648537267E-5
65.0	4.170217589122361E-5
66.0	2.8870737155462505E-5
67.0	3.6355743084656483E-5
68.0	1.924715810364167E-5
69.0	5.34643280656713E-6
70.0	3.2078596839402784E-6
71.0	0.0
72.0	7.485005929193982E-6
73.0	2.138573122626852E-6
74.0	0.0
75.0	1.069286561313426E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	2.138573122626852E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	2.138573122626852E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.069286561313426E-6
98.0	0.0
99.0	0.0
100.0	2.138573122626852E-6
