#Duplication rate	Coverage
1.0	1777889.0
2.0	824852.0
3.0	321870.0
4.0	178620.0
5.0	91537.0
6.0	55652.0
7.0	32887.0
8.0	21665.0
9.0	14101.0
10.0	9585.0
11.0	6701.0
12.0	4829.0
13.0	3353.0
14.0	2599.0
15.0	2098.0
16.0	1548.0
17.0	1256.0
18.0	1040.0
19.0	846.0
20.0	736.0
21.0	550.0
22.0	516.0
23.0	440.0
24.0	394.0
25.0	340.0
26.0	318.0
27.0	263.0
28.0	262.0
29.0	228.0
30.0	228.0
31.0	195.0
32.0	203.0
33.0	169.0
34.0	183.0
35.0	181.0
36.0	146.0
37.0	159.0
38.0	134.0
39.0	130.0
40.0	115.0
41.0	127.0
42.0	133.0
43.0	112.0
44.0	106.0
45.0	121.0
46.0	105.0
47.0	104.0
48.0	95.0
49.0	106.0
50.0	4589.0
