#Insert size (bp)	insert size
141.0	2.0
142.0	2.0
143.0	1.0
144.0	3.0
145.0	1.0
146.0	2.0
147.0	3.0
148.0	8.0
149.0	31.0
150.0	13759.0
151.0	26948.0
152.0	27128.0
153.0	27226.0
154.0	27636.0
155.0	27283.0
156.0	27986.0
157.0	27239.0
158.0	27044.0
159.0	27377.0
160.0	26801.0
161.0	27132.0
162.0	26733.0
163.0	27354.0
164.0	27129.0
165.0	27122.0
166.0	27430.0
167.0	27181.0
168.0	26771.0
169.0	27165.0
170.0	26714.0
171.0	26869.0
172.0	26750.0
173.0	26589.0
174.0	26854.0
175.0	26771.0
176.0	26851.0
177.0	27130.0
178.0	26890.0
179.0	26534.0
180.0	26590.0
181.0	26203.0
182.0	26647.0
183.0	26276.0
184.0	26517.0
185.0	25969.0
186.0	26396.0
187.0	26513.0
188.0	26497.0
189.0	26434.0
190.0	26188.0
191.0	25984.0
192.0	25627.0
193.0	25705.0
194.0	25312.0
195.0	25904.0
196.0	25705.0
197.0	26109.0
198.0	25640.0
199.0	25658.0
200.0	25749.0
201.0	25026.0
202.0	25017.0
203.0	24445.0
204.0	24395.0
205.0	24717.0
206.0	25016.0
207.0	24976.0
208.0	25110.0
209.0	24802.0
210.0	24850.0
211.0	24205.0
212.0	24361.0
213.0	23669.0
214.0	23394.0
215.0	23570.0
216.0	23507.0
217.0	23693.0
218.0	23275.0
219.0	23762.0
220.0	23651.0
221.0	23101.0
222.0	22534.0
223.0	22160.0
224.0	21900.0
225.0	22227.0
226.0	21946.0
227.0	21716.0
228.0	21903.0
229.0	21844.0
230.0	21669.0
231.0	21461.0
232.0	21008.0
233.0	20971.0
234.0	20306.0
235.0	19672.0
236.0	19898.0
237.0	19703.0
238.0	19887.0
239.0	20083.0
240.0	19539.0
241.0	19917.0
242.0	19130.0
243.0	19113.0
244.0	18368.0
245.0	17825.0
246.0	17524.0
247.0	17617.0
248.0	17418.0
249.0	17297.0
250.0	17505.0
251.0	17217.0
252.0	16758.0
253.0	16594.0
254.0	16067.0
255.0	15647.0
256.0	15167.0
257.0	14805.0
258.0	14677.0
259.0	14319.0
260.0	14449.0
261.0	14139.0
262.0	13635.0
263.0	13005.0
264.0	11689.0
265.0	10546.0
266.0	9906.0
