#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.0007365420949818E-6
6.0	0.0
7.0	0.0
8.0	1.0007365420949818E-6
9.0	1.0007365420949818E-6
10.0	2.0014730841899637E-6
11.0	1.0007365420949818E-6
12.0	4.002946168379927E-6
13.0	2.0014730841899637E-6
14.0	5.003682710474909E-6
15.0	6.004419252569891E-6
16.0	1.4010311589329743E-5
17.0	1.8013257757709672E-5
18.0	2.0014730841899635E-5
19.0	2.8020623178659493E-5
20.0	3.30243058891344E-5
21.0	7.805745028340858E-5
22.0	1.1408396579882794E-4
23.0	1.5711563710891214E-4
24.0	2.391760335607007E-4
25.0	4.103019822589426E-4
26.0	4.95364588337016E-4
27.0	8.87653312838249E-4
28.0	0.001542135011368367
29.0	0.0026109216383258076
30.0	0.004617398405226247
31.0	0.008156002818074102
32.0	0.013617022128286421
33.0	0.02208425401095206
34.0	0.03215766804368015
35.0	0.04387929516123867
36.0	0.05638449899125757
37.0	0.06680516860409261
38.0	0.07481006020431036
39.0	0.07942345566336825
40.0	0.08004191084638294
41.0	0.07784229192685818
42.0	0.07310480513658052
43.0	0.06596755211835911
44.0	0.05823085791142281
45.0	0.04918219809779998
46.0	0.040335687065680345
47.0	0.032876196880904346
48.0	0.02658756845037948
49.0	0.021195599961571717
50.0	0.01774305889134403
51.0	0.016291990905306305
52.0	0.01022052230441605
53.0	0.007481506388702085
54.0	0.004869584013834182
55.0	0.0031303039036731034
56.0	0.0021115541038204118
57.0	0.00138401863771736
58.0	9.046658340538635E-4
59.0	6.014426617990841E-4
60.0	5.043712172158709E-4
61.0	2.6219297402888523E-4
62.0	1.5511416402472222E-4
63.0	1.1408396579882795E-4
64.0	7.405450411502866E-5
65.0	4.703461747846415E-5
66.0	3.702725205751433E-5
67.0	3.8027988599609314E-5
68.0	7.005155794664872E-6
69.0	1.1008101963044797E-5
70.0	3.0022096262849455E-6
71.0	5.003682710474909E-6
72.0	4.002946168379927E-6
73.0	5.003682710474909E-6
74.0	2.0014730841899637E-6
75.0	1.0007365420949818E-6
76.0	2.0014730841899637E-6
77.0	0.0
78.0	0.0
79.0	0.0
80.0	1.0007365420949818E-6
81.0	0.0
82.0	1.0007365420949818E-6
83.0	0.0
84.0	2.0014730841899637E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.0007365420949818E-6
89.0	0.0
90.0	0.0
91.0	1.0007365420949818E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	1.0007365420949818E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	1.0007365420949818E-6
100.0	1.10081019630448E-5
