#Mapping quality	mapping quality
0.0	268792.0
1.0	125945.0
2.0	44314.0
3.0	30163.0
4.0	24508.0
5.0	21618.0
6.0	21474.0
7.0	22740.0
8.0	24978.0
9.0	29999.0
10.0	37826.0
11.0	27376.0
12.0	19394.0
13.0	18238.0
14.0	18412.0
15.0	19039.0
16.0	19715.0
17.0	19439.0
18.0	19207.0
19.0	18190.0
20.0	19265.0
21.0	18712.0
22.0	20851.0
23.0	17206.0
24.0	17196.0
25.0	16426.0
26.0	16399.0
27.0	16447.0
28.0	17019.0
29.0	17684.0
30.0	19650.0
31.0	21814.0
32.0	24881.0
33.0	31965.0
34.0	43466.0
35.0	62296.0
36.0	99757.0
37.0	166835.0
38.0	313334.0
39.0	614753.0
40.0	1363309.0
41.0	2752183.0
42.0	3767201.0
43.0	1814244.0
44.0	29952.0
