#Insert size (bp)	insert size
141.0	2.0
143.0	1.0
144.0	3.0
145.0	1.0
146.0	2.0
147.0	3.0
148.0	9.0
149.0	42.0
150.0	12663.0
151.0	24797.0
152.0	24943.0
153.0	25136.0
154.0	25382.0
155.0	25036.0
156.0	25409.0
157.0	25125.0
158.0	24755.0
159.0	24647.0
160.0	24295.0
161.0	24550.0
162.0	24519.0
163.0	24739.0
164.0	24551.0
165.0	24846.0
166.0	24199.0
167.0	24613.0
168.0	24421.0
169.0	24283.0
170.0	23757.0
171.0	23900.0
172.0	23896.0
173.0	23988.0
174.0	23884.0
175.0	23479.0
176.0	23516.0
177.0	23729.0
178.0	23519.0
179.0	22998.0
180.0	23253.0
181.0	22643.0
182.0	22733.0
183.0	22716.0
184.0	22730.0
185.0	22446.0
186.0	22300.0
187.0	22473.0
188.0	22391.0
189.0	22121.0
190.0	21851.0
191.0	21633.0
192.0	21304.0
193.0	20991.0
194.0	20954.0
195.0	21033.0
196.0	20689.0
197.0	20752.0
198.0	20778.0
199.0	20326.0
200.0	20101.0
201.0	19926.0
202.0	19850.0
203.0	19451.0
204.0	19150.0
205.0	19039.0
206.0	19211.0
207.0	19123.0
208.0	18942.0
209.0	18706.0
210.0	18605.0
211.0	18102.0
212.0	18140.0
213.0	17906.0
214.0	17529.0
215.0	17207.0
216.0	17179.0
217.0	17251.0
218.0	17058.0
219.0	17066.0
220.0	16810.0
221.0	16070.0
222.0	16357.0
223.0	15987.0
224.0	15634.0
225.0	15663.0
226.0	15553.0
227.0	15442.0
228.0	15338.0
229.0	15452.0
230.0	15136.0
231.0	14979.0
232.0	14688.0
233.0	14604.0
234.0	14060.0
235.0	13972.0
236.0	13861.0
237.0	13706.0
238.0	13713.0
239.0	13711.0
240.0	13572.0
241.0	13576.0
242.0	13279.0
243.0	12943.0
244.0	12898.0
245.0	12564.0
246.0	12332.0
247.0	12466.0
248.0	12238.0
249.0	12136.0
250.0	12288.0
251.0	12073.0
252.0	12043.0
253.0	11725.0
254.0	11513.0
255.0	11359.0
256.0	11111.0
257.0	11104.0
258.0	10984.0
259.0	10942.0
260.0	10631.0
261.0	10618.0
262.0	10600.0
263.0	10170.0
264.0	9891.0
265.0	9780.0
266.0	9485.0
267.0	9420.0
268.0	9393.0
269.0	9325.0
270.0	9096.0
271.0	8958.0
272.0	8940.0
273.0	8872.0
274.0	8768.0
275.0	8893.0
276.0	8659.0
277.0	8421.0
278.0	8815.0
279.0	8564.0
280.0	8515.0
281.0	8353.0
282.0	8582.0
283.0	8391.0
284.0	8414.0
285.0	8348.0
286.0	8169.0
287.0	8192.0
288.0	8392.0
289.0	8190.0
290.0	7869.0
291.0	8008.0
292.0	7856.0
293.0	7850.0
294.0	7954.0
295.0	7841.0
296.0	7781.0
297.0	7523.0
298.0	7619.0
299.0	7718.0
300.0	7384.0
301.0	7505.0
302.0	7500.0
303.0	7461.0
304.0	7346.0
305.0	7363.0
306.0	7229.0
307.0	7264.0
308.0	7153.0
309.0	7089.0
310.0	7239.0
311.0	6961.0
312.0	7012.0
313.0	7107.0
314.0	6870.0
315.0	6974.0
316.0	6803.0
317.0	6805.0
318.0	6784.0
319.0	6752.0
320.0	6727.0
321.0	6641.0
322.0	6420.0
323.0	6575.0
324.0	6421.0
325.0	6309.0
326.0	6333.0
327.0	6392.0
328.0	6450.0
329.0	6091.0
330.0	6424.0
331.0	6429.0
332.0	6025.0
333.0	6263.0
334.0	6097.0
335.0	6027.0
336.0	6070.0
337.0	6001.0
338.0	5900.0
339.0	5896.0
340.0	5702.0
341.0	5830.0
342.0	5645.0
343.0	5602.0
344.0	5607.0
345.0	5658.0
346.0	5807.0
347.0	5618.0
348.0	5585.0
349.0	5478.0
350.0	5506.0
351.0	5474.0
352.0	5478.0
353.0	5507.0
354.0	5451.0
355.0	5348.0
356.0	5331.0
357.0	5384.0
358.0	5148.0
359.0	5275.0
360.0	5002.0
361.0	5131.0
362.0	5053.0
363.0	5033.0
364.0	5025.0
365.0	4954.0
366.0	5065.0
367.0	4785.0
368.0	4831.0
369.0	4786.0
370.0	4716.0
371.0	4733.0
372.0	4645.0
373.0	4642.0
374.0	4592.0
375.0	4701.0
