#Mapping quality	mapping quality
0.0	213865.0
1.0	170175.0
2.0	44119.0
3.0	28504.0
4.0	23840.0
5.0	21235.0
6.0	20292.0
7.0	20758.0
8.0	22070.0
9.0	26954.0
10.0	37759.0
11.0	29230.0
12.0	22043.0
13.0	18205.0
14.0	16346.0
15.0	17248.0
16.0	18968.0
17.0	17643.0
18.0	17530.0
19.0	18508.0
20.0	19142.0
21.0	17688.0
22.0	19061.0
23.0	18084.0
24.0	18186.0
25.0	15542.0
26.0	15576.0
27.0	15636.0
28.0	15421.0
29.0	15003.0
30.0	15269.0
31.0	16153.0
32.0	16691.0
33.0	19349.0
34.0	22361.0
35.0	25590.0
36.0	32108.0
37.0	39136.0
38.0	59402.0
39.0	105045.0
40.0	254483.0
41.0	875336.0
42.0	3634137.0
43.0	5973635.0
44.0	69498.0
