#Duplication rate	Coverage
1.0	1633308.0
2.0	591296.0
3.0	201001.0
4.0	94003.0
5.0	42749.0
6.0	22898.0
7.0	12472.0
8.0	7473.0
9.0	4522.0
10.0	3026.0
11.0	2053.0
12.0	1469.0
13.0	1082.0
14.0	858.0
15.0	678.0
16.0	534.0
17.0	458.0
18.0	413.0
19.0	329.0
20.0	328.0
21.0	280.0
22.0	260.0
23.0	227.0
24.0	207.0
25.0	197.0
26.0	192.0
27.0	167.0
28.0	154.0
29.0	149.0
30.0	126.0
31.0	130.0
32.0	114.0
33.0	107.0
34.0	91.0
35.0	128.0
36.0	79.0
37.0	106.0
38.0	73.0
39.0	74.0
40.0	85.0
41.0	72.0
42.0	64.0
43.0	68.0
44.0	69.0
45.0	57.0
46.0	64.0
47.0	57.0
48.0	47.0
49.0	52.0
50.0	1488.0
