#Coverage (X)	Coverage
1.0	99.37668548556584
2.0	99.36748921721085
3.0	99.34820831110696
4.0	99.33923413510043
5.0	99.32482280937772
6.0	99.31534686917651
7.0	99.30026104076588
8.0	99.28724807427426
9.0	99.26987551723869
10.0	99.24828320558225
11.0	99.21990473883379
12.0	99.1871502302563
13.0	99.14546267388494
14.0	99.08576918600275
15.0	99.00590642262281
16.0	98.90357120383513
17.0	98.76388334229243
18.0	98.58045151374444
19.0	98.3512439844848
20.0	98.06034413620677
21.0	97.69380127916968
22.0	97.26365775404588
23.0	96.73154916404852
24.0	96.09050016430722
25.0	95.33014644522689
26.0	94.44000031257441
27.0	93.4121322469453
28.0	92.23423668710602
29.0	90.89270019465982
30.0	89.40666383978751
31.0	87.75517691095042
32.0	85.97004796783445
33.0	84.04562599401748
34.0	81.99011195510774
35.0	79.78689827882542
36.0	77.4842201330004
37.0	75.0892749548515
38.0	72.61677841887521
39.0	70.06369526297584
40.0	67.44293974593458
41.0	64.78808894058248
42.0	62.0974730414848
43.0	59.43863279950285
44.0	56.786586938255454
45.0	54.1624095539193
46.0	51.55649309601258
47.0	48.99650862602569
48.0	46.51926589430625
49.0	44.10448046636103
50.0	41.75686563536303
51.0	39.48817584449588
