#Insert size (bp)	insert size
132.0	1.0
141.0	1.0
142.0	2.0
145.0	1.0
146.0	5.0
147.0	5.0
148.0	8.0
149.0	41.0
150.0	7885.0
151.0	15503.0
152.0	15334.0
153.0	15705.0
154.0	15741.0
155.0	15454.0
156.0	15778.0
157.0	15419.0
158.0	15533.0
159.0	15406.0
160.0	15366.0
161.0	15576.0
162.0	15419.0
163.0	15384.0
164.0	15536.0
165.0	15626.0
166.0	15401.0
167.0	15273.0
168.0	15212.0
169.0	15210.0
170.0	15076.0
171.0	15252.0
172.0	14832.0
173.0	15104.0
174.0	15320.0
175.0	15141.0
176.0	15264.0
177.0	15205.0
178.0	15287.0
179.0	15306.0
180.0	15008.0
181.0	14734.0
182.0	14547.0
183.0	14648.0
184.0	14562.0
185.0	14608.0
186.0	14503.0
187.0	14723.0
188.0	14785.0
189.0	14604.0
190.0	14655.0
191.0	14327.0
192.0	14294.0
193.0	14313.0
194.0	14200.0
195.0	14267.0
196.0	14218.0
197.0	14307.0
198.0	14043.0
199.0	14093.0
200.0	14204.0
201.0	14082.0
202.0	13885.0
203.0	13669.0
204.0	13610.0
205.0	13494.0
206.0	13592.0
207.0	13685.0
208.0	13470.0
209.0	13533.0
210.0	13657.0
211.0	13567.0
212.0	13230.0
213.0	12868.0
214.0	12678.0
215.0	12692.0
216.0	12860.0
217.0	12923.0
218.0	12744.0
219.0	12934.0
220.0	12547.0
221.0	12604.0
222.0	12371.0
223.0	12192.0
224.0	12145.0
225.0	11915.0
226.0	11903.0
227.0	11677.0
228.0	11775.0
229.0	11946.0
230.0	11703.0
231.0	11733.0
232.0	11418.0
233.0	11281.0
234.0	10945.0
235.0	10826.0
236.0	10515.0
237.0	10854.0
238.0	10600.0
239.0	10714.0
240.0	10555.0
241.0	10561.0
242.0	10248.0
243.0	10098.0
244.0	10017.0
245.0	9664.0
246.0	9395.0
247.0	9465.0
248.0	9390.0
249.0	9375.0
250.0	9096.0
251.0	9343.0
252.0	9051.0
253.0	8631.0
254.0	8695.0
255.0	8642.0
256.0	8464.0
257.0	8090.0
258.0	8024.0
259.0	7896.0
260.0	7810.0
261.0	7667.0
262.0	7588.0
263.0	7362.0
264.0	6922.0
265.0	6363.0
266.0	6338.0
267.0	6094.0
268.0	5957.0
269.0	6051.0
270.0	5989.0
271.0	5594.0
272.0	5681.0
273.0	5545.0
274.0	5378.0
275.0	5440.0
276.0	5511.0
277.0	5431.0
278.0	5471.0
279.0	5404.0
280.0	5379.0
281.0	5437.0
282.0	5355.0
283.0	5358.0
284.0	5380.0
285.0	5250.0
286.0	5323.0
287.0	5322.0
288.0	5248.0
289.0	5268.0
290.0	5334.0
291.0	5068.0
292.0	5069.0
293.0	4890.0
294.0	5010.0
295.0	5153.0
296.0	4990.0
297.0	5053.0
298.0	4950.0
299.0	5004.0
300.0	4984.0
301.0	4998.0
302.0	4684.0
303.0	4825.0
304.0	4972.0
305.0	4921.0
306.0	4797.0
307.0	4701.0
308.0	4776.0
309.0	4719.0
310.0	4778.0
311.0	4672.0
312.0	4684.0
313.0	4626.0
314.0	4582.0
315.0	4564.0
316.0	4575.0
317.0	4662.0
318.0	4631.0
319.0	4505.0
320.0	4666.0
321.0	4382.0
322.0	4489.0
323.0	4562.0
324.0	4518.0
325.0	4447.0
326.0	4385.0
327.0	4408.0
328.0	4443.0
329.0	4428.0
330.0	4331.0
331.0	4203.0
332.0	4214.0
333.0	4197.0
334.0	4175.0
335.0	4330.0
336.0	4274.0
337.0	4015.0
338.0	4207.0
339.0	4096.0
340.0	4028.0
341.0	4087.0
342.0	4080.0
343.0	3976.0
344.0	4035.0
345.0	4046.0
346.0	3800.0
347.0	3962.0
348.0	3796.0
349.0	3990.0
350.0	3779.0
351.0	3838.0
352.0	3602.0
353.0	3718.0
354.0	3767.0
355.0	3707.0
356.0	3719.0
357.0	3841.0
358.0	3793.0
359.0	3696.0
360.0	3546.0
361.0	3630.0
362.0	3672.0
363.0	3567.0
364.0	3647.0
365.0	3576.0
366.0	3581.0
367.0	3468.0
368.0	3460.0
369.0	3453.0
370.0	3527.0
371.0	3469.0
372.0	3277.0
373.0	3325.0
374.0	3270.0
375.0	3292.0
376.0	3349.0
377.0	3300.0
378.0	3237.0
379.0	3207.0
380.0	3197.0
381.0	3105.0
382.0	3119.0
383.0	3079.0
384.0	3151.0
385.0	3104.0
386.0	3003.0
387.0	3101.0
388.0	3067.0
389.0	3058.0
390.0	3185.0
391.0	2961.0
392.0	2997.0
393.0	2954.0
394.0	2941.0
395.0	2889.0
396.0	2978.0
397.0	2933.0
398.0	2839.0
399.0	2833.0
400.0	2834.0
401.0	2722.0
402.0	2701.0
403.0	2824.0
404.0	2842.0
405.0	2765.0
406.0	2680.0
407.0	2717.0
408.0	2666.0
409.0	2559.0
410.0	2647.0
411.0	2666.0
412.0	2617.0
413.0	2524.0
414.0	2607.0
415.0	2549.0
416.0	2601.0
417.0	2544.0
418.0	2533.0
419.0	2488.0
420.0	2421.0
421.0	2471.0
422.0	2369.0
423.0	2293.0
424.0	2377.0
425.0	2370.0
426.0	2293.0
427.0	2391.0
428.0	2314.0
429.0	2307.0
430.0	2261.0
431.0	2214.0
432.0	2286.0
433.0	2321.0
434.0	2240.0
435.0	2225.0
436.0	2191.0
437.0	2195.0
438.0	2039.0
439.0	2097.0
440.0	2137.0
441.0	2073.0
442.0	2085.0
443.0	2100.0
444.0	2017.0
445.0	2063.0
446.0	1946.0
447.0	1967.0
448.0	2008.0
449.0	1942.0
450.0	1818.0
451.0	1944.0
452.0	1922.0
453.0	1961.0
454.0	1899.0
455.0	1863.0
456.0	1803.0
457.0	1830.0
458.0	1850.0
459.0	1798.0
460.0	1702.0
461.0	1725.0
462.0	1720.0
463.0	1744.0
464.0	1705.0
465.0	1685.0
466.0	1656.0
467.0	1719.0
468.0	1752.0
469.0	1646.0
470.0	1681.0
471.0	1531.0
472.0	1625.0
473.0	1639.0
474.0	1569.0
475.0	1532.0
476.0	1484.0
477.0	1473.0
478.0	1501.0
479.0	1528.0
480.0	1416.0
481.0	1478.0
482.0	1504.0
483.0	1460.0
484.0	1481.0
485.0	1461.0
486.0	1448.0
487.0	1401.0
488.0	1358.0
489.0	1365.0
490.0	1429.0
491.0	1302.0
492.0	1290.0
493.0	1309.0
494.0	1278.0
495.0	1234.0
496.0	1307.0
497.0	1269.0
498.0	1204.0
499.0	1219.0
500.0	1225.0
501.0	1127.0
502.0	1192.0
503.0	1179.0
504.0	1124.0
505.0	1164.0
506.0	1149.0
507.0	1108.0
508.0	1080.0
509.0	1107.0
510.0	1146.0
511.0	1056.0
512.0	1098.0
513.0	1025.0
514.0	1020.0
515.0	1068.0
516.0	1025.0
517.0	998.0
518.0	1020.0
519.0	987.0
520.0	963.0
521.0	972.0
522.0	950.0
523.0	879.0
524.0	907.0
525.0	902.0
526.0	888.0
527.0	917.0
