#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.2165494521269543E-6
8.0	0.0
9.0	3.6496483563808627E-6
10.0	1.2165494521269543E-6
11.0	2.4330989042539086E-6
12.0	2.4330989042539086E-6
13.0	0.0
14.0	7.299296712761726E-6
15.0	8.51584616488868E-6
16.0	8.51584616488868E-6
17.0	1.2165494521269543E-5
18.0	2.3114439590412132E-5
19.0	3.406338465955472E-5
20.0	4.987852753720512E-5
21.0	9.245775836164853E-5
22.0	1.812658683669162E-4
23.0	2.895387696062151E-4
24.0	4.951356270156704E-4
25.0	9.598575177281669E-4
26.0	0.0012481797378822547
27.0	0.0023674052338390527
28.0	0.0036751958948755287
29.0	0.005929462029666774
30.0	0.008823633176276798
31.0	0.013211727050098723
32.0	0.019371116926217496
33.0	0.026384524517729383
34.0	0.03516314536427749
35.0	0.04491135612417077
36.0	0.05505737855490956
37.0	0.06423259452285106
38.0	0.07079344571817171
39.0	0.07531292693282335
40.0	0.07716329864950845
41.0	0.07490173321800445
42.0	0.07153554088396916
43.0	0.06456349597382958
44.0	0.05730799504134443
45.0	0.048624265052062236
46.0	0.04000257908483851
47.0	0.03225072597588556
48.0	0.02549401031877245
49.0	0.02029812760873823
50.0	0.016090083053831094
51.0	0.014468422634145866
52.0	0.008849180714771466
53.0	0.0067360343164269455
54.0	0.004506099170678239
55.0	0.003018259190726973
56.0	0.0018430724199723356
57.0	0.0013114403093928567
58.0	8.260370779942019E-4
59.0	5.085176709890668E-4
60.0	3.661813850902133E-4
61.0	2.4695953878177174E-4
62.0	1.3990318699459974E-4
63.0	9.367430781377548E-5
64.0	5.4744725345712946E-5
65.0	3.649648356380863E-5
66.0	2.0681340686158223E-5
67.0	3.0413736303173856E-5
68.0	1.0948945069142587E-5
69.0	4.866197808507817E-6
70.0	9.732395617015634E-6
71.0	1.2165494521269543E-6
72.0	1.2165494521269543E-6
73.0	1.2165494521269543E-6
74.0	1.2165494521269543E-6
75.0	2.4330989042539086E-6
76.0	0.0
77.0	2.4330989042539086E-6
78.0	0.0
79.0	0.0
80.0	1.2165494521269543E-6
81.0	0.0
82.0	1.2165494521269543E-6
83.0	0.0
84.0	0.0
85.0	1.2165494521269543E-6
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	1.2165494521269543E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.2165494521269543E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.5815142877650405E-5
