#Mapping quality	mapping quality
0.0	260615.0
1.0	122651.0
2.0	45092.0
3.0	30355.0
4.0	25069.0
5.0	22977.0
6.0	21481.0
7.0	21418.0
8.0	24885.0
9.0	33103.0
10.0	37386.0
11.0	25475.0
12.0	18845.0
13.0	19371.0
14.0	17700.0
15.0	17688.0
16.0	16240.0
17.0	17397.0
18.0	18403.0
19.0	17576.0
20.0	18312.0
21.0	16395.0
22.0	15428.0
23.0	15247.0
24.0	14644.0
25.0	14487.0
26.0	13693.0
27.0	13679.0
28.0	12955.0
29.0	13595.0
30.0	15168.0
31.0	14687.0
32.0	16834.0
33.0	20255.0
34.0	23430.0
35.0	29471.0
36.0	46096.0
37.0	85971.0
38.0	211235.0
39.0	584120.0
40.0	1527739.0
41.0	3044800.0
42.0	3696564.0
43.0	1766268.0
44.0	20515.0
