#Duplication rate	Coverage
1.0	1679876.0
2.0	445412.0
3.0	145690.0
4.0	57047.0
5.0	25539.0
6.0	12616.0
7.0	7074.0
8.0	4199.0
9.0	2865.0
10.0	1825.0
11.0	1325.0
12.0	1062.0
13.0	838.0
14.0	636.0
15.0	544.0
16.0	449.0
17.0	398.0
18.0	335.0
19.0	302.0
20.0	243.0
21.0	223.0
22.0	196.0
23.0	162.0
24.0	154.0
25.0	137.0
26.0	139.0
27.0	131.0
28.0	116.0
29.0	98.0
30.0	93.0
31.0	88.0
32.0	80.0
33.0	63.0
34.0	64.0
35.0	60.0
36.0	58.0
37.0	63.0
38.0	50.0
39.0	42.0
40.0	54.0
41.0	42.0
42.0	37.0
43.0	39.0
44.0	29.0
45.0	27.0
46.0	21.0
47.0	23.0
48.0	17.0
49.0	24.0
50.0	494.0
