#Coverage (X)	Coverage
1.0	99.92841223301107
2.0	99.92128882657508
3.0	99.90662250593377
4.0	99.89386453436077
5.0	99.88129575256609
6.0	99.86489382134974
7.0	99.84701127447694
8.0	99.82254821357552
9.0	99.7940628134741
10.0	99.75101802608434
11.0	99.6899590815412
12.0	99.60115504472488
13.0	99.47276099038382
14.0	99.29193669051966
15.0	99.03713096168866
16.0	98.70908411171904
17.0	98.26103336279485
18.0	97.69504335119258
19.0	96.97872149660631
20.0	96.1035542590115
21.0	95.05537708196154
22.0	93.81906300883311
23.0	92.36800208602295
24.0	90.72961860574537
25.0	88.88966575512838
26.0	86.86860893280102
27.0	84.67623665338088
28.0	82.32684508359515
29.0	79.82677619383891
30.0	77.17510871214816
31.0	74.42669944859405
32.0	71.59852612937044
33.0	68.67972268068755
34.0	65.72447963557113
35.0	62.7454644835263
36.0	59.78324609353954
37.0	56.83240376717977
38.0	53.9221796636617
39.0	51.053906337076135
40.0	48.24118900017726
41.0	45.51452010984522
42.0	42.906621272087385
43.0	40.41862762557368
44.0	38.060977510682015
45.0	35.8222948637854
46.0	33.67099321754644
47.0	31.63756502884526
48.0	29.75001038487369
49.0	27.988168235776513
50.0	26.324087848217133
51.0	24.768380301066728
