#Insert size (bp)	insert size
144.0	1.0
146.0	1.0
148.0	6.0
149.0	8.0
150.0	2021.0
151.0	3874.0
152.0	3850.0
153.0	4019.0
154.0	3981.0
155.0	4011.0
156.0	4124.0
157.0	3966.0
158.0	3895.0
159.0	4064.0
160.0	3969.0
161.0	3926.0
162.0	4018.0
163.0	4130.0
164.0	4046.0
165.0	4094.0
166.0	4141.0
167.0	4103.0
168.0	4069.0
169.0	4244.0
170.0	4074.0
171.0	4076.0
172.0	4210.0
173.0	4250.0
174.0	4254.0
175.0	4087.0
176.0	4285.0
177.0	4406.0
178.0	4269.0
179.0	4344.0
180.0	4375.0
181.0	4371.0
182.0	4397.0
183.0	4474.0
184.0	4428.0
185.0	4430.0
186.0	4454.0
187.0	4595.0
188.0	4569.0
189.0	4713.0
190.0	4654.0
191.0	4523.0
192.0	4653.0
193.0	4675.0
194.0	4840.0
195.0	4822.0
196.0	4781.0
197.0	4974.0
198.0	4955.0
199.0	4999.0
200.0	4905.0
201.0	5003.0
202.0	5056.0
203.0	5104.0
204.0	5212.0
205.0	5227.0
206.0	5218.0
207.0	5261.0
208.0	5409.0
209.0	5539.0
210.0	5357.0
211.0	5418.0
212.0	5430.0
213.0	5434.0
214.0	5388.0
215.0	5534.0
216.0	5475.0
217.0	5431.0
218.0	5481.0
219.0	5552.0
220.0	5765.0
221.0	5554.0
222.0	5716.0
223.0	5558.0
224.0	5846.0
225.0	5788.0
226.0	5760.0
227.0	5669.0
228.0	5912.0
229.0	5954.0
230.0	5887.0
231.0	5883.0
232.0	6026.0
233.0	5842.0
234.0	5882.0
235.0	6064.0
236.0	6031.0
237.0	6105.0
238.0	6045.0
239.0	6075.0
240.0	6046.0
241.0	6081.0
242.0	6165.0
243.0	6293.0
244.0	6412.0
245.0	6202.0
246.0	6050.0
247.0	6280.0
248.0	6329.0
249.0	6314.0
250.0	6384.0
251.0	6292.0
252.0	6279.0
253.0	6333.0
254.0	6286.0
255.0	6436.0
256.0	6360.0
257.0	6324.0
258.0	6447.0
259.0	6444.0
260.0	6417.0
261.0	6458.0
262.0	6567.0
263.0	6396.0
264.0	6417.0
265.0	6339.0
266.0	6256.0
267.0	6474.0
268.0	6458.0
269.0	6269.0
270.0	6422.0
271.0	6419.0
272.0	6268.0
273.0	6451.0
274.0	6426.0
275.0	6561.0
276.0	6396.0
277.0	6330.0
278.0	6412.0
279.0	6368.0
280.0	6484.0
281.0	6451.0
282.0	6481.0
283.0	6526.0
284.0	6438.0
285.0	6562.0
286.0	6370.0
287.0	6387.0
288.0	6347.0
289.0	6226.0
