#Duplication rate	Coverage
1.0	1760607.0
2.0	656904.0
3.0	235936.0
4.0	111411.0
5.0	52171.0
6.0	27493.0
7.0	15053.0
8.0	8866.0
9.0	5317.0
10.0	3421.0
11.0	2245.0
12.0	1594.0
13.0	1171.0
14.0	817.0
15.0	689.0
16.0	551.0
17.0	446.0
18.0	375.0
19.0	325.0
20.0	279.0
21.0	271.0
22.0	236.0
23.0	237.0
24.0	170.0
25.0	175.0
26.0	174.0
27.0	137.0
28.0	126.0
29.0	126.0
30.0	132.0
31.0	112.0
32.0	120.0
33.0	87.0
34.0	91.0
35.0	109.0
36.0	73.0
37.0	76.0
38.0	70.0
39.0	80.0
40.0	79.0
41.0	59.0
42.0	59.0
43.0	53.0
44.0	54.0
45.0	51.0
46.0	55.0
47.0	45.0
48.0	56.0
49.0	48.0
50.0	1368.0
