#Insert size (bp)	insert size
136.0	1.0
141.0	1.0
143.0	1.0
144.0	1.0
145.0	1.0
147.0	2.0
148.0	3.0
149.0	37.0
150.0	9489.0
151.0	18627.0
152.0	18522.0
153.0	18778.0
154.0	18491.0
155.0	18880.0
156.0	18837.0
157.0	18749.0
158.0	18421.0
159.0	18425.0
160.0	18251.0
161.0	18496.0
162.0	18325.0
163.0	18435.0
164.0	18342.0
165.0	18590.0
166.0	18369.0
167.0	18188.0
168.0	18288.0
169.0	18130.0
170.0	17828.0
171.0	17983.0
172.0	18053.0
173.0	18131.0
174.0	17860.0
175.0	17674.0
176.0	17767.0
177.0	17986.0
178.0	17838.0
179.0	17580.0
180.0	17449.0
181.0	17268.0
182.0	17260.0
183.0	17332.0
184.0	17200.0
185.0	17254.0
186.0	17244.0
187.0	16717.0
188.0	16933.0
189.0	16788.0
190.0	16811.0
191.0	16523.0
192.0	16590.0
193.0	16410.0
194.0	16205.0
195.0	16057.0
196.0	16215.0
197.0	15925.0
198.0	16135.0
199.0	15595.0
200.0	15927.0
201.0	15584.0
202.0	15441.0
203.0	15197.0
204.0	15096.0
205.0	15093.0
206.0	15228.0
207.0	15009.0
208.0	14991.0
209.0	14932.0
210.0	14673.0
211.0	14330.0
212.0	14235.0
213.0	13960.0
214.0	14044.0
215.0	13759.0
216.0	13825.0
217.0	13712.0
218.0	13475.0
219.0	13590.0
220.0	13368.0
221.0	13077.0
222.0	13144.0
223.0	12818.0
224.0	12578.0
225.0	12375.0
226.0	12365.0
227.0	12319.0
228.0	12339.0
229.0	12045.0
230.0	12166.0
231.0	12080.0
232.0	11711.0
233.0	11601.0
234.0	11369.0
235.0	11177.0
236.0	11164.0
237.0	10994.0
238.0	11024.0
239.0	10778.0
240.0	10792.0
241.0	10736.0
242.0	10499.0
243.0	10349.0
244.0	10340.0
245.0	9895.0
246.0	9912.0
247.0	9592.0
248.0	9621.0
249.0	9759.0
250.0	9507.0
251.0	9447.0
252.0	9453.0
253.0	9150.0
254.0	9002.0
255.0	9039.0
256.0	8817.0
257.0	8725.0
258.0	8676.0
259.0	8497.0
260.0	8391.0
261.0	8188.0
262.0	8303.0
263.0	8130.0
264.0	7646.0
265.0	7274.0
266.0	7122.0
267.0	6756.0
268.0	6834.0
269.0	6732.0
270.0	6662.0
271.0	6553.0
272.0	6396.0
273.0	6412.0
274.0	6369.0
275.0	6384.0
276.0	6430.0
277.0	6219.0
278.0	6146.0
279.0	6103.0
280.0	6190.0
281.0	6172.0
282.0	5979.0
283.0	6173.0
284.0	6146.0
285.0	6062.0
286.0	5877.0
287.0	5776.0
288.0	5901.0
289.0	5906.0
290.0	5699.0
291.0	5798.0
292.0	5596.0
293.0	5899.0
294.0	5792.0
295.0	5703.0
296.0	5751.0
297.0	5577.0
298.0	5567.0
299.0	5424.0
300.0	5432.0
301.0	5430.0
302.0	5402.0
303.0	5488.0
304.0	5450.0
305.0	5358.0
306.0	5377.0
307.0	5116.0
308.0	5323.0
309.0	5288.0
310.0	5356.0
311.0	5270.0
312.0	5192.0
313.0	5322.0
314.0	5047.0
315.0	5090.0
316.0	5038.0
317.0	4992.0
318.0	5048.0
319.0	5025.0
320.0	5020.0
321.0	5034.0
322.0	4914.0
323.0	4865.0
324.0	4825.0
325.0	4853.0
326.0	4821.0
327.0	4874.0
328.0	4851.0
329.0	4588.0
330.0	4684.0
331.0	4741.0
332.0	4552.0
333.0	4664.0
334.0	4659.0
335.0	4617.0
336.0	4662.0
337.0	4568.0
338.0	4383.0
339.0	4448.0
340.0	4529.0
341.0	4389.0
342.0	4326.0
343.0	4379.0
344.0	4443.0
345.0	4269.0
346.0	4311.0
347.0	4160.0
348.0	4220.0
349.0	4213.0
350.0	4300.0
351.0	4296.0
352.0	4089.0
353.0	4107.0
354.0	3993.0
