#Mapping quality	mapping quality
0.0	224647.0
1.0	150408.0
2.0	44784.0
3.0	31280.0
4.0	24433.0
5.0	21635.0
6.0	20237.0
7.0	20766.0
8.0	22767.0
9.0	27075.0
10.0	36779.0
11.0	29854.0
12.0	18678.0
13.0	16653.0
14.0	17664.0
15.0	18661.0
16.0	17963.0
17.0	17687.0
18.0	17994.0
19.0	18026.0
20.0	17310.0
21.0	16276.0
22.0	16650.0
23.0	15784.0
24.0	14880.0
25.0	13525.0
26.0	12818.0
27.0	12767.0
28.0	13405.0
29.0	12779.0
30.0	13249.0
31.0	15051.0
32.0	14994.0
33.0	16631.0
34.0	18120.0
35.0	21732.0
36.0	26479.0
37.0	35927.0
38.0	56893.0
39.0	135983.0
40.0	485986.0
41.0	1715384.0
42.0	4290753.0
43.0	4238421.0
44.0	34122.0
