#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.4979029358897544E-6
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.4979029358897544E-6
10.0	1.4979029358897544E-6
11.0	2.9958058717795087E-6
12.0	5.9916117435590175E-6
13.0	1.4979029358897544E-6
14.0	7.489514679448772E-6
15.0	4.493708807669263E-6
16.0	1.7974835230677048E-5
17.0	2.696225284601558E-5
18.0	3.29538645895746E-5
19.0	5.0928699820251646E-5
20.0	9.886159376872378E-5
21.0	1.3031755542240863E-4
22.0	2.5913720790892754E-4
23.0	4.2390653085680046E-4
24.0	6.500898741761534E-4
25.0	0.0011908328340323546
26.0	0.0016641701617735173
27.0	0.0029194128220491316
28.0	0.004586578789694428
29.0	0.007290293588975436
30.0	0.011051527860994607
31.0	0.01626572798082684
32.0	0.022959856201318154
33.0	0.031130916716596763
34.0	0.04098112642300778
35.0	0.050058418214499696
36.0	0.05940233672857999
37.0	0.06721839424805273
38.0	0.07204913121629719
39.0	0.07512732174955063
40.0	0.07474086279209108
41.0	0.07169862192929899
42.0	0.06710754943079687
43.0	0.059577591372079096
44.0	0.05233073696824446
45.0	0.04451467944877172
46.0	0.0362432594367885
47.0	0.02951467944877172
48.0	0.023356800479328938
49.0	0.018813660874775314
50.0	0.015286099460754942
51.0	0.013457159976033552
52.0	0.009000898741761533
53.0	0.006493409227082085
54.0	0.004409826243259436
55.0	0.0027905931695626127
56.0	0.0017450569203115638
57.0	0.0011144397843019774
58.0	7.055122828040744E-4
59.0	4.988016776512882E-4
60.0	3.8945476333133614E-4
61.0	2.2468544038346314E-4
62.0	1.348112642300779E-4
63.0	7.938885560215699E-5
64.0	3.59496704613541E-5
65.0	2.3966446974236067E-5
66.0	2.846015578190533E-5
67.0	1.64769322947873E-5
68.0	1.1983223487118035E-5
69.0	2.9958058717795087E-6
70.0	4.493708807669263E-6
71.0	5.9916117435590175E-6
72.0	4.493708807669263E-6
73.0	2.9958058717795087E-6
74.0	0.0
75.0	2.9958058717795087E-6
76.0	2.9958058717795087E-6
77.0	0.0
78.0	0.0
79.0	0.0
80.0	1.4979029358897544E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	2.9958058717795087E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.4979029358897544E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.489514679448772E-6
