#Mapping quality	mapping quality
0.0	248802.0
1.0	129566.0
2.0	46979.0
3.0	31081.0
4.0	25468.0
5.0	22888.0
6.0	21377.0
7.0	22240.0
8.0	25070.0
9.0	30558.0
10.0	35336.0
11.0	27363.0
12.0	19621.0
13.0	18028.0
14.0	17821.0
15.0	18824.0
16.0	18350.0
17.0	16998.0
18.0	18580.0
19.0	17920.0
20.0	17184.0
21.0	16840.0
22.0	15594.0
23.0	15176.0
24.0	14296.0
25.0	13382.0
26.0	12863.0
27.0	12798.0
28.0	13068.0
29.0	13640.0
30.0	13428.0
31.0	14937.0
32.0	17066.0
33.0	18887.0
34.0	24425.0
35.0	34065.0
36.0	51414.0
37.0	102203.0
38.0	245709.0
39.0	599317.0
40.0	1404076.0
41.0	2649884.0
42.0	3484057.0
43.0	2381673.0
44.0	63962.0
