#Duplication rate	Coverage
1.0	1303164.0
2.0	320216.0
3.0	91892.0
4.0	34376.0
5.0	14424.0
6.0	6976.0
7.0	3863.0
8.0	2347.0
9.0	1539.0
10.0	1088.0
11.0	802.0
12.0	607.0
13.0	529.0
14.0	444.0
15.0	368.0
16.0	307.0
17.0	251.0
18.0	222.0
19.0	214.0
20.0	171.0
21.0	166.0
22.0	164.0
23.0	120.0
24.0	118.0
25.0	109.0
26.0	108.0
27.0	94.0
28.0	98.0
29.0	93.0
30.0	69.0
31.0	72.0
32.0	84.0
33.0	61.0
34.0	58.0
35.0	65.0
36.0	37.0
37.0	43.0
38.0	37.0
39.0	48.0
40.0	34.0
41.0	26.0
42.0	35.0
43.0	28.0
44.0	20.0
45.0	32.0
46.0	31.0
47.0	25.0
48.0	24.0
49.0	20.0
50.0	493.0
