#Coverage (X)	Coverage
1.0	99.92056497003193
2.0	99.90491979792887
3.0	99.87494555652847
4.0	99.84241314029944
5.0	99.78831308934159
6.0	99.70349848915511
7.0	99.54906205054576
8.0	99.32733163035114
9.0	98.97333287818111
10.0	98.44095284198006
11.0	97.70548169157048
12.0	96.7044703488207
13.0	95.41197513717287
14.0	93.80251301605111
15.0	91.86701110173844
16.0	89.6036103990218
17.0	87.04379866752816
18.0	84.1746287459062
19.0	81.03854494964055
20.0	77.64720301420445
21.0	74.08003796956595
22.0	70.37866334131357
23.0	66.59213686153078
24.0	62.776253063537744
25.0	58.97870422275698
26.0	55.235650263775796
27.0	51.57591383803957
28.0	48.03088399746486
29.0	44.6297617730537
30.0	41.399206472264574
31.0	38.32928151891425
32.0	35.430129130249355
33.0	32.720363935328365
34.0	30.18412689534229
35.0	27.83280229956064
36.0	25.651189160577303
37.0	23.624144070483894
38.0	21.756808055865278
39.0	20.051130594002444
40.0	18.50158405311133
41.0	17.06745972828236
42.0	15.745492039428797
43.0	14.526460041268052
44.0	13.397013515964531
45.0	12.379723626636434
46.0	11.435189545537355
47.0	10.572377223031296
48.0	9.805089287293299
49.0	9.10053010153321
50.0	8.46088768666553
51.0	7.879836523580238
