#Insert size (bp)	insert size
142.0	1.0
144.0	3.0
148.0	7.0
149.0	18.0
150.0	3374.0
151.0	6467.0
152.0	6437.0
153.0	6509.0
154.0	6734.0
155.0	6464.0
156.0	6613.0
157.0	6492.0
158.0	6557.0
159.0	6507.0
160.0	6494.0
161.0	6491.0
162.0	6350.0
163.0	6433.0
164.0	6532.0
165.0	6506.0
166.0	6564.0
167.0	6201.0
168.0	6403.0
169.0	6407.0
170.0	6298.0
171.0	6354.0
172.0	6371.0
173.0	6198.0
174.0	6263.0
175.0	6168.0
176.0	6156.0
177.0	6523.0
178.0	6184.0
179.0	6356.0
180.0	5990.0
181.0	6173.0
182.0	5988.0
183.0	6041.0
184.0	5960.0
185.0	5989.0
186.0	6067.0
187.0	6041.0
188.0	6115.0
189.0	6056.0
190.0	5978.0
191.0	5838.0
192.0	5765.0
193.0	5588.0
194.0	5741.0
195.0	5687.0
196.0	5894.0
197.0	5807.0
198.0	5693.0
199.0	5740.0
200.0	5844.0
201.0	5560.0
202.0	5555.0
203.0	5482.0
204.0	5356.0
205.0	5480.0
206.0	5641.0
207.0	5613.0
208.0	5482.0
209.0	5524.0
210.0	5544.0
211.0	5345.0
212.0	5365.0
213.0	5321.0
214.0	5288.0
215.0	5213.0
216.0	5246.0
217.0	5294.0
218.0	5248.0
219.0	5298.0
220.0	5188.0
221.0	5091.0
222.0	5239.0
223.0	4980.0
224.0	4981.0
225.0	5142.0
226.0	5071.0
227.0	5024.0
228.0	4924.0
229.0	4975.0
230.0	4842.0
231.0	4898.0
232.0	4836.0
233.0	4793.0
234.0	4757.0
235.0	4766.0
236.0	4772.0
237.0	4685.0
238.0	4671.0
239.0	4779.0
240.0	4778.0
241.0	4859.0
242.0	4653.0
243.0	4683.0
244.0	4686.0
245.0	4614.0
246.0	4471.0
247.0	4422.0
248.0	4613.0
249.0	4495.0
250.0	4665.0
251.0	4453.0
252.0	4478.0
253.0	4531.0
254.0	4313.0
255.0	4300.0
256.0	4123.0
257.0	4373.0
258.0	4256.0
259.0	4315.0
260.0	4357.0
261.0	4222.0
262.0	4362.0
263.0	4215.0
264.0	4213.0
265.0	4164.0
266.0	4105.0
267.0	4005.0
268.0	4012.0
269.0	3995.0
270.0	3956.0
271.0	3896.0
272.0	3921.0
273.0	4022.0
274.0	3901.0
275.0	3912.0
276.0	3937.0
277.0	3798.0
278.0	3884.0
279.0	3928.0
280.0	4012.0
281.0	3832.0
282.0	3840.0
283.0	3819.0
284.0	3796.0
285.0	3870.0
286.0	3862.0
287.0	3763.0
288.0	3791.0
289.0	3878.0
290.0	3789.0
291.0	3727.0
292.0	3732.0
293.0	3698.0
294.0	3691.0
295.0	3819.0
296.0	3737.0
297.0	3638.0
298.0	3660.0
299.0	3550.0
300.0	3538.0
301.0	3494.0
302.0	3623.0
303.0	3575.0
304.0	3568.0
305.0	3520.0
306.0	3429.0
307.0	3538.0
308.0	3561.0
309.0	3520.0
310.0	3506.0
311.0	3369.0
312.0	3344.0
313.0	3513.0
314.0	3449.0
315.0	3490.0
316.0	3269.0
317.0	3406.0
318.0	3274.0
319.0	3295.0
320.0	3258.0
321.0	3304.0
322.0	3325.0
323.0	3180.0
324.0	3278.0
325.0	3310.0
326.0	3176.0
327.0	3299.0
328.0	3221.0
329.0	3248.0
330.0	3182.0
331.0	3099.0
332.0	3079.0
333.0	3172.0
334.0	3181.0
335.0	3246.0
336.0	3175.0
337.0	3106.0
338.0	3145.0
339.0	3212.0
340.0	3038.0
341.0	2983.0
342.0	3001.0
343.0	3067.0
344.0	2954.0
345.0	3044.0
346.0	2917.0
347.0	2968.0
348.0	3002.0
349.0	2899.0
350.0	2925.0
351.0	2985.0
352.0	2941.0
353.0	2946.0
354.0	2852.0
355.0	2931.0
356.0	2882.0
357.0	2894.0
358.0	2853.0
359.0	2849.0
360.0	2767.0
361.0	2870.0
362.0	2723.0
363.0	2770.0
364.0	2807.0
365.0	2826.0
366.0	2817.0
367.0	2729.0
368.0	2667.0
369.0	2767.0
370.0	2717.0
371.0	2644.0
372.0	2589.0
373.0	2806.0
374.0	2630.0
375.0	2706.0
376.0	2595.0
377.0	2643.0
378.0	2619.0
379.0	2515.0
380.0	2503.0
381.0	2601.0
382.0	2635.0
383.0	2540.0
384.0	2449.0
385.0	2492.0
386.0	2532.0
387.0	2546.0
388.0	2404.0
389.0	2496.0
390.0	2497.0
391.0	2463.0
392.0	2390.0
393.0	2446.0
394.0	2369.0
395.0	2417.0
396.0	2347.0
397.0	2415.0
398.0	2407.0
399.0	2359.0
400.0	2342.0
401.0	2324.0
402.0	2288.0
403.0	2255.0
404.0	2347.0
405.0	2314.0
406.0	2289.0
407.0	2296.0
408.0	2236.0
409.0	2278.0
410.0	2159.0
411.0	2169.0
412.0	2147.0
413.0	2096.0
414.0	2126.0
415.0	2181.0
416.0	2100.0
417.0	2101.0
418.0	2055.0
419.0	2183.0
420.0	2126.0
421.0	2164.0
422.0	2136.0
423.0	2096.0
424.0	2040.0
425.0	2026.0
426.0	1970.0
427.0	2072.0
428.0	1998.0
429.0	1957.0
430.0	2047.0
431.0	2049.0
432.0	2030.0
433.0	1935.0
434.0	1978.0
435.0	1890.0
436.0	1904.0
437.0	1972.0
438.0	1848.0
439.0	1847.0
440.0	1886.0
441.0	1892.0
442.0	1876.0
443.0	1799.0
444.0	1761.0
445.0	1797.0
446.0	1743.0
447.0	1762.0
448.0	1732.0
449.0	1789.0
450.0	1783.0
451.0	1740.0
452.0	1715.0
453.0	1775.0
454.0	1678.0
455.0	1667.0
456.0	1723.0
457.0	1716.0
458.0	1663.0
459.0	1680.0
460.0	1724.0
461.0	1664.0
462.0	1679.0
463.0	1582.0
464.0	1731.0
465.0	1572.0
466.0	1638.0
467.0	1546.0
468.0	1534.0
469.0	1563.0
470.0	1505.0
471.0	1556.0
472.0	1514.0
473.0	1598.0
474.0	1481.0
475.0	1431.0
476.0	1476.0
477.0	1516.0
478.0	1401.0
479.0	1474.0
480.0	1478.0
481.0	1450.0
482.0	1402.0
483.0	1365.0
484.0	1450.0
485.0	1392.0
486.0	1328.0
487.0	1377.0
488.0	1375.0
489.0	1308.0
490.0	1372.0
491.0	1346.0
492.0	1307.0
493.0	1323.0
494.0	1285.0
495.0	1290.0
496.0	1344.0
497.0	1328.0
498.0	1280.0
499.0	1284.0
500.0	1222.0
501.0	1281.0
502.0	1222.0
503.0	1217.0
504.0	1210.0
505.0	1236.0
506.0	1127.0
507.0	1173.0
508.0	1180.0
509.0	1132.0
510.0	1172.0
511.0	1045.0
512.0	1184.0
513.0	1142.0
514.0	1107.0
515.0	1072.0
516.0	1083.0
517.0	1047.0
518.0	1070.0
519.0	1026.0
520.0	1009.0
521.0	1063.0
522.0	1038.0
523.0	1012.0
524.0	943.0
525.0	1058.0
526.0	975.0
527.0	997.0
528.0	897.0
529.0	957.0
530.0	987.0
531.0	949.0
532.0	933.0
533.0	965.0
534.0	889.0
535.0	918.0
536.0	920.0
537.0	916.0
538.0	896.0
539.0	891.0
540.0	865.0
541.0	859.0
542.0	835.0
543.0	859.0
544.0	838.0
545.0	883.0
546.0	770.0
547.0	783.0
548.0	771.0
549.0	802.0
550.0	795.0
551.0	748.0
552.0	790.0
553.0	758.0
554.0	707.0
555.0	763.0
556.0	755.0
557.0	697.0
558.0	725.0
559.0	702.0
560.0	684.0
561.0	656.0
562.0	703.0
563.0	699.0
564.0	622.0
565.0	618.0
566.0	674.0
567.0	639.0
568.0	634.0
569.0	640.0
570.0	693.0
571.0	669.0
572.0	615.0
573.0	580.0
574.0	595.0
575.0	584.0
576.0	605.0
577.0	577.0
578.0	581.0
579.0	531.0
580.0	538.0
581.0	509.0
582.0	574.0
583.0	517.0
584.0	535.0
585.0	559.0
586.0	523.0
587.0	506.0
588.0	513.0
589.0	518.0
590.0	516.0
591.0	462.0
592.0	464.0
593.0	482.0
594.0	457.0
595.0	425.0
596.0	478.0
597.0	451.0
598.0	413.0
599.0	411.0
600.0	441.0
601.0	405.0
602.0	406.0
603.0	440.0
604.0	380.0
605.0	387.0
606.0	381.0
607.0	363.0
608.0	393.0
609.0	329.0
610.0	391.0
611.0	337.0
612.0	344.0
613.0	395.0
614.0	352.0
615.0	329.0
616.0	353.0
617.0	338.0
618.0	324.0
619.0	356.0
620.0	322.0
621.0	330.0
622.0	297.0
623.0	292.0
624.0	305.0
625.0	286.0
626.0	298.0
627.0	277.0
628.0	279.0
629.0	290.0
630.0	268.0
631.0	289.0
632.0	259.0
633.0	260.0
634.0	249.0
635.0	236.0
636.0	279.0
637.0	251.0
638.0	241.0
639.0	237.0
640.0	264.0
641.0	249.0
642.0	217.0
643.0	228.0
644.0	234.0
645.0	247.0
646.0	204.0
647.0	196.0
648.0	212.0
649.0	205.0
650.0	210.0
651.0	211.0
652.0	181.0
653.0	199.0
654.0	200.0
655.0	175.0
656.0	177.0
657.0	176.0
658.0	165.0
659.0	182.0
660.0	161.0
661.0	156.0
662.0	148.0
663.0	144.0
664.0	152.0
665.0	138.0
666.0	137.0
667.0	134.0
668.0	131.0
669.0	134.0
670.0	149.0
671.0	139.0
672.0	133.0
673.0	112.0
674.0	148.0
675.0	126.0
676.0	128.0
677.0	146.0
678.0	130.0
679.0	118.0
680.0	121.0
681.0	117.0
682.0	106.0
683.0	96.0
684.0	114.0
685.0	97.0
686.0	112.0
687.0	97.0
688.0	103.0
689.0	90.0
690.0	87.0
691.0	87.0
692.0	84.0
693.0	92.0
694.0	85.0
695.0	98.0
696.0	79.0
697.0	76.0
698.0	79.0
699.0	65.0
700.0	77.0
701.0	65.0
702.0	81.0
703.0	65.0
704.0	94.0
705.0	86.0
706.0	58.0
707.0	70.0
708.0	78.0
709.0	62.0
710.0	61.0
711.0	59.0
712.0	53.0
713.0	38.0
714.0	68.0
715.0	56.0
716.0	58.0
717.0	61.0
718.0	47.0
719.0	44.0
720.0	45.0
721.0	46.0
722.0	40.0
723.0	52.0
724.0	44.0
725.0	43.0
726.0	43.0
727.0	32.0
728.0	51.0
729.0	52.0
730.0	49.0
731.0	37.0
732.0	53.0
733.0	38.0
734.0	38.0
735.0	25.0
736.0	28.0
737.0	33.0
738.0	37.0
739.0	24.0
740.0	44.0
741.0	40.0
742.0	30.0
743.0	32.0
744.0	31.0
745.0	18.0
746.0	24.0
747.0	25.0
748.0	33.0
749.0	19.0
750.0	22.0
751.0	27.0
752.0	16.0
753.0	24.0
754.0	16.0
755.0	25.0
756.0	20.0
