#Mapping quality	mapping quality
0.0	99886.0
1.0	253118.0
2.0	43411.0
3.0	31777.0
4.0	25012.0
5.0	21767.0
6.0	21741.0
7.0	20582.0
8.0	22906.0
9.0	26313.0
10.0	32601.0
11.0	37593.0
12.0	20281.0
13.0	16249.0
14.0	16450.0
15.0	15265.0
16.0	17680.0
17.0	17196.0
18.0	17293.0
19.0	17151.0
20.0	17520.0
21.0	17650.0
22.0	16106.0
23.0	14811.0
24.0	14755.0
25.0	12979.0
26.0	14597.0
27.0	13886.0
28.0	13466.0
29.0	14449.0
30.0	14744.0
31.0	15643.0
32.0	14363.0
33.0	17042.0
34.0	17435.0
35.0	19467.0
36.0	22542.0
37.0	28982.0
38.0	39914.0
39.0	63408.0
40.0	149687.0
41.0	488825.0
42.0	1770955.0
43.0	7725203.0
44.0	834747.0
