#Duplication rate	Coverage
1.0	1931773.0
2.0	639426.0
3.0	237763.0
4.0	103046.0
5.0	48014.0
6.0	24455.0
7.0	13172.0
8.0	7661.0
9.0	4502.0
10.0	2992.0
11.0	1946.0
12.0	1326.0
13.0	955.0
14.0	748.0
15.0	551.0
16.0	497.0
17.0	454.0
18.0	321.0
19.0	313.0
20.0	262.0
21.0	253.0
22.0	198.0
23.0	204.0
24.0	172.0
25.0	155.0
26.0	161.0
27.0	139.0
28.0	127.0
29.0	116.0
30.0	124.0
31.0	120.0
32.0	79.0
33.0	115.0
34.0	88.0
35.0	98.0
36.0	75.0
37.0	78.0
38.0	84.0
39.0	80.0
40.0	74.0
41.0	66.0
42.0	56.0
43.0	58.0
44.0	46.0
45.0	51.0
46.0	45.0
47.0	41.0
48.0	39.0
49.0	46.0
50.0	1189.0
