#Insert size (bp)	insert size
146.0	2.0
147.0	1.0
148.0	4.0
149.0	20.0
150.0	7022.0
151.0	13934.0
152.0	13780.0
153.0	13932.0
154.0	14195.0
155.0	14052.0
156.0	14152.0
157.0	13890.0
158.0	14019.0
159.0	14114.0
160.0	13803.0
161.0	13677.0
162.0	13665.0
163.0	13762.0
164.0	13730.0
165.0	13961.0
166.0	13795.0
167.0	13902.0
168.0	13702.0
169.0	13646.0
170.0	13742.0
171.0	13644.0
172.0	13608.0
173.0	13659.0
174.0	13711.0
175.0	13640.0
176.0	13403.0
177.0	13427.0
178.0	13590.0
179.0	13426.0
180.0	13219.0
181.0	13315.0
182.0	13322.0
183.0	13309.0
184.0	13472.0
185.0	13377.0
186.0	13220.0
187.0	13366.0
188.0	13181.0
189.0	13042.0
190.0	13381.0
191.0	12924.0
192.0	12689.0
193.0	12889.0
194.0	12660.0
195.0	12931.0
196.0	12918.0
197.0	12799.0
198.0	12702.0
199.0	12771.0
200.0	12664.0
201.0	12571.0
202.0	12550.0
203.0	12419.0
204.0	12343.0
205.0	12301.0
206.0	12133.0
207.0	12422.0
208.0	12322.0
209.0	12207.0
210.0	12359.0
211.0	11767.0
212.0	12179.0
213.0	11857.0
214.0	11770.0
215.0	11741.0
216.0	11826.0
217.0	11744.0
218.0	11786.0
219.0	11787.0
220.0	11664.0
221.0	11581.0
222.0	11597.0
223.0	11400.0
224.0	11446.0
225.0	11266.0
226.0	11260.0
227.0	11109.0
228.0	11315.0
229.0	11070.0
230.0	10979.0
231.0	11029.0
232.0	10956.0
233.0	10860.0
234.0	10821.0
235.0	10503.0
236.0	10579.0
237.0	10626.0
238.0	10586.0
239.0	10755.0
240.0	10468.0
241.0	10485.0
242.0	10492.0
243.0	10220.0
244.0	10054.0
245.0	10225.0
246.0	10008.0
247.0	10280.0
248.0	10072.0
249.0	10146.0
250.0	10170.0
251.0	9827.0
252.0	9980.0
253.0	10079.0
254.0	9912.0
255.0	9548.0
256.0	9610.0
257.0	9561.0
258.0	9403.0
259.0	9540.0
260.0	9493.0
261.0	9251.0
262.0	9221.0
263.0	9184.0
264.0	9232.0
265.0	8866.0
266.0	8949.0
267.0	8883.0
268.0	8612.0
269.0	8872.0
270.0	8898.0
271.0	8548.0
272.0	8556.0
273.0	8621.0
274.0	8626.0
275.0	8423.0
276.0	8560.0
277.0	8360.0
278.0	8378.0
279.0	8247.0
280.0	8245.0
281.0	8145.0
282.0	8135.0
283.0	8004.0
284.0	8080.0
285.0	8102.0
286.0	8032.0
287.0	7929.0
288.0	7770.0
289.0	7867.0
290.0	7882.0
291.0	7778.0
292.0	7975.0
293.0	7678.0
294.0	7643.0
295.0	7647.0
296.0	7476.0
297.0	7528.0
298.0	7548.0
299.0	7386.0
300.0	7430.0
301.0	7209.0
302.0	7355.0
303.0	7300.0
304.0	7205.0
305.0	7227.0
306.0	7255.0
307.0	7123.0
308.0	7153.0
309.0	7077.0
310.0	6960.0
311.0	7056.0
312.0	6896.0
313.0	6933.0
314.0	7004.0
315.0	6944.0
316.0	6763.0
317.0	6747.0
318.0	6634.0
319.0	6622.0
320.0	6717.0
321.0	6469.0
322.0	6532.0
323.0	6629.0
324.0	6419.0
325.0	6335.0
326.0	6419.0
327.0	6338.0
328.0	6226.0
329.0	6202.0
330.0	6366.0
331.0	6200.0
332.0	6123.0
333.0	6222.0
334.0	5998.0
335.0	6008.0
336.0	5987.0
337.0	5872.0
338.0	5755.0
339.0	5951.0
340.0	5939.0
341.0	5785.0
