#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.3105283919423472E-6
5.0	0.0
6.0	1.3105283919423472E-6
7.0	0.0
8.0	0.0
9.0	0.0
10.0	1.3105283919423472E-6
11.0	0.0
12.0	2.6210567838846944E-6
13.0	2.6210567838846944E-6
14.0	0.0
15.0	1.0484227135538776E-5
16.0	9.173698743596429E-6
17.0	1.3105283919423471E-5
18.0	1.0484227135538778E-5
19.0	3.407373819050103E-5
20.0	6.945800477294441E-5
21.0	8.64948738681949E-5
22.0	1.4022653793783116E-4
23.0	2.9486888818702815E-4
24.0	5.307639987366506E-4
25.0	0.0010222121457150307
26.0	0.0012764546537518463
27.0	0.0027639043786064103
28.0	0.004820123425563953
29.0	0.007700664831053233
30.0	0.012176119289536349
31.0	0.018538734632416447
32.0	0.025924872649403515
33.0	0.03522176106184252
34.0	0.04519750318130768
35.0	0.05491769226434406
36.0	0.06385811695417476
37.0	0.07086944385106633
38.0	0.0746201761088053
39.0	0.07651651069194589
40.0	0.07467914988644271
41.0	0.07085502803875496
42.0	0.06388956963558137
43.0	0.057039437730898715
44.0	0.04882766682698798
45.0	0.04110210195648783
46.0	0.03342633716488151
47.0	0.026639110623012094
48.0	0.020931759476103172
49.0	0.016513968266865516
50.0	0.013456505528464021
51.0	0.011976918973961111
52.0	0.007468701305679436
53.0	0.005639203670527919
54.0	0.003699621650453246
55.0	0.002402198542430322
56.0	0.001521523463045065
57.0	0.0011231228318945917
58.0	6.827852922019629E-4
59.0	4.7047969270730264E-4
60.0	3.892269324068772E-4
61.0	2.2016876984631438E-4
62.0	1.4415812311365818E-4
63.0	9.96001577876184E-5
64.0	5.2421135677693884E-5
65.0	3.5384266582443375E-5
66.0	1.5726340703308165E-5
67.0	2.3589511054962252E-5
68.0	1.7036869095250513E-5
69.0	3.931585175827042E-6
70.0	2.6210567838846944E-6
71.0	1.3105283919423472E-6
72.0	0.0
73.0	0.0
74.0	0.0
75.0	3.931585175827042E-6
76.0	1.3105283919423472E-6
77.0	0.0
78.0	0.0
79.0	1.3105283919423472E-6
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	1.3105283919423472E-6
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	9.17369874359643E-6
