#Mapping quality	mapping quality
0.0	157685.0
1.0	214297.0
2.0	40716.0
3.0	29236.0
4.0	23500.0
5.0	21069.0
6.0	19900.0
7.0	18931.0
8.0	21663.0
9.0	26844.0
10.0	38916.0
11.0	33282.0
12.0	21194.0
13.0	17645.0
14.0	16090.0
15.0	16215.0
16.0	16494.0
17.0	16836.0
18.0	17417.0
19.0	17377.0
20.0	18192.0
21.0	17177.0
22.0	16759.0
23.0	16585.0
24.0	15894.0
25.0	13833.0
26.0	13510.0
27.0	13427.0
28.0	14115.0
29.0	13228.0
30.0	12969.0
31.0	12887.0
32.0	13683.0
33.0	14282.0
34.0	16645.0
35.0	18430.0
36.0	22697.0
37.0	26826.0
38.0	34173.0
39.0	50163.0
40.0	97612.0
41.0	294987.0
42.0	1902178.0
43.0	8457013.0
44.0	151304.0
