#Duplication rate	Coverage
1.0	1949122.0
2.0	790629.0
3.0	317797.0
4.0	158514.0
5.0	80910.0
6.0	45271.0
7.0	26208.0
8.0	15949.0
9.0	10082.0
10.0	6653.0
11.0	4610.0
12.0	3185.0
13.0	2210.0
14.0	1688.0
15.0	1260.0
16.0	943.0
17.0	752.0
18.0	619.0
19.0	512.0
20.0	389.0
21.0	329.0
22.0	303.0
23.0	285.0
24.0	243.0
25.0	226.0
26.0	208.0
27.0	190.0
28.0	140.0
29.0	156.0
30.0	154.0
31.0	153.0
32.0	115.0
33.0	100.0
34.0	90.0
35.0	87.0
36.0	94.0
37.0	76.0
38.0	77.0
39.0	62.0
40.0	76.0
41.0	73.0
42.0	76.0
43.0	63.0
44.0	56.0
45.0	53.0
46.0	52.0
47.0	55.0
48.0	38.0
49.0	52.0
50.0	1432.0
