#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	1.0624948867433575E-6
7.0	1.0624948867433575E-6
8.0	0.0
9.0	0.0
10.0	1.0624948867433575E-6
11.0	1.0624948867433575E-6
12.0	1.0624948867433575E-6
13.0	4.24997954697343E-6
14.0	7.437464207203503E-6
15.0	5.3124744337167875E-6
16.0	1.1687443754176932E-5
17.0	1.0624948867433573E-5
18.0	1.699991818789372E-5
19.0	2.8687361942070653E-5
20.0	4.24997954697343E-5
21.0	7.01246625250616E-5
22.0	1.1049946822130918E-4
23.0	2.2418642110284842E-4
24.0	3.346858893241576E-4
25.0	7.278089974191999E-4
26.0	9.976826986520127E-4
27.0	0.001988990427983565
28.0	0.0035508579114963013
29.0	0.006105095619227332
30.0	0.009878014962052997
31.0	0.015685612012992185
32.0	0.022668328408669534
33.0	0.0313032243532328
34.0	0.04160304978532291
35.0	0.05170418867359201
36.0	0.06089901942346902
37.0	0.06954029033735275
38.0	0.07456801614142232
39.0	0.07736131519867061
40.0	0.07691825483089863
41.0	0.07344920902568156
42.0	0.06769792420373977
43.0	0.06036564699032385
44.0	0.05236931047269335
45.0	0.04370572716618802
46.0	0.035616953593410834
47.0	0.028787236461424528
48.0	0.022411204646077643
49.0	0.017803164322271695
50.0	0.01423743148236099
51.0	0.012338753119750611
52.0	0.007665900607853325
53.0	0.0058001595867319886
54.0	0.0037410444962233617
55.0	0.002494737994073404
56.0	0.001648992064225691
57.0	0.0011358070339286491
58.0	7.660588133419609E-4
59.0	5.195599996175018E-4
60.0	3.516858075120514E-4
61.0	2.5393627793166246E-4
62.0	1.572492432380169E-4
63.0	9.98745193538756E-5
64.0	6.162470343111474E-5
65.0	4.7812269903451086E-5
66.0	3.081235171555736E-5
67.0	1.4874928414407002E-5
68.0	1.0624948867433575E-5
69.0	6.374969320460145E-6
70.0	8.49995909394686E-6
71.0	2.124989773486715E-6
72.0	2.124989773486715E-6
73.0	1.0624948867433575E-6
74.0	2.124989773486715E-6
75.0	4.24997954697343E-6
76.0	1.0624948867433575E-6
77.0	0.0
78.0	1.0624948867433575E-6
79.0	0.0
80.0	2.124989773486715E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.0624948867433575E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.274993864092029E-5
