#Insert size (bp)	insert size
140.0	1.0
141.0	2.0
142.0	1.0
143.0	1.0
144.0	2.0
146.0	1.0
148.0	9.0
149.0	53.0
150.0	14080.0
151.0	26862.0
152.0	27091.0
153.0	27233.0
154.0	27503.0
155.0	27018.0
156.0	27473.0
157.0	27017.0
158.0	26725.0
159.0	26960.0
160.0	26743.0
161.0	26540.0
162.0	26650.0
163.0	26708.0
164.0	26567.0
165.0	26672.0
166.0	26933.0
167.0	26741.0
168.0	26481.0
169.0	26629.0
170.0	26154.0
171.0	25731.0
172.0	25753.0
173.0	25911.0
174.0	25919.0
175.0	26009.0
176.0	25864.0
177.0	25873.0
178.0	25442.0
179.0	25560.0
180.0	25221.0
181.0	24710.0
182.0	24901.0
183.0	24578.0
184.0	24838.0
185.0	24583.0
186.0	24582.0
187.0	24211.0
188.0	24085.0
189.0	24032.0
190.0	23695.0
191.0	23329.0
192.0	23139.0
193.0	22746.0
194.0	22902.0
195.0	23025.0
196.0	22616.0
197.0	22739.0
198.0	22697.0
199.0	22363.0
200.0	22166.0
201.0	21905.0
202.0	21336.0
203.0	21114.0
204.0	21040.0
205.0	20985.0
206.0	20709.0
207.0	20984.0
208.0	20692.0
209.0	20370.0
210.0	20224.0
211.0	19864.0
212.0	19610.0
213.0	19213.0
214.0	19130.0
215.0	18851.0
216.0	18724.0
217.0	18525.0
218.0	18323.0
219.0	18268.0
220.0	18128.0
221.0	17971.0
222.0	17867.0
223.0	17207.0
224.0	17042.0
225.0	16713.0
226.0	16458.0
227.0	16360.0
228.0	16091.0
229.0	16192.0
230.0	16159.0
231.0	15870.0
232.0	15500.0
233.0	15285.0
234.0	14805.0
235.0	14833.0
236.0	14512.0
237.0	14481.0
238.0	14235.0
239.0	14169.0
240.0	14066.0
241.0	13690.0
242.0	13632.0
243.0	13772.0
244.0	13063.0
245.0	12924.0
246.0	12956.0
247.0	12641.0
248.0	12680.0
249.0	12300.0
250.0	12354.0
251.0	12260.0
252.0	12050.0
253.0	11959.0
254.0	11574.0
255.0	11570.0
256.0	11230.0
257.0	11053.0
258.0	10838.0
259.0	10750.0
260.0	10835.0
261.0	10519.0
262.0	10491.0
263.0	10205.0
264.0	9860.0
265.0	9372.0
266.0	9144.0
267.0	9186.0
268.0	9059.0
269.0	8966.0
270.0	8806.0
271.0	8647.0
272.0	8436.0
273.0	8526.0
274.0	8336.0
275.0	8501.0
276.0	8205.0
277.0	8229.0
278.0	8259.0
279.0	8038.0
280.0	8037.0
281.0	7794.0
282.0	8105.0
283.0	7896.0
284.0	8061.0
285.0	7948.0
286.0	7708.0
287.0	7741.0
288.0	7865.0
289.0	7578.0
290.0	7594.0
291.0	7541.0
292.0	7673.0
293.0	7410.0
294.0	7525.0
295.0	7218.0
296.0	7325.0
297.0	7328.0
298.0	7148.0
299.0	7116.0
300.0	6953.0
301.0	7191.0
302.0	7025.0
303.0	6968.0
304.0	6865.0
305.0	7016.0
306.0	6741.0
307.0	6852.0
308.0	6623.0
309.0	6606.0
310.0	6686.0
311.0	6724.0
312.0	6360.0
313.0	6575.0
314.0	6323.0
315.0	6372.0
316.0	6265.0
317.0	6231.0
318.0	6158.0
319.0	6219.0
320.0	6137.0
321.0	6043.0
322.0	6187.0
323.0	6013.0
324.0	6016.0
325.0	6015.0
326.0	5952.0
327.0	5914.0
328.0	5950.0
329.0	5874.0
330.0	5813.0
331.0	5827.0
332.0	5623.0
333.0	5627.0
334.0	5527.0
335.0	5724.0
336.0	5583.0
337.0	5555.0
338.0	5445.0
339.0	5532.0
340.0	5397.0
341.0	5252.0
342.0	5215.0
343.0	5321.0
344.0	5125.0
345.0	5325.0
346.0	5089.0
347.0	5086.0
348.0	4920.0
349.0	5165.0
350.0	4944.0
351.0	4889.0
352.0	4823.0
353.0	4799.0
354.0	4849.0
355.0	4673.0
356.0	4713.0
357.0	4756.0
358.0	4692.0
359.0	4647.0
360.0	4531.0
361.0	4611.0
362.0	4575.0
363.0	4413.0
364.0	4509.0
365.0	4360.0
366.0	4409.0
367.0	4277.0
368.0	4329.0
369.0	4369.0
370.0	4244.0
371.0	4300.0
372.0	4229.0
373.0	4112.0
374.0	4072.0
375.0	3994.0
376.0	3999.0
377.0	3969.0
378.0	3951.0
379.0	3846.0
380.0	3805.0
381.0	3854.0
382.0	3902.0
383.0	3712.0
384.0	3836.0
385.0	3607.0
386.0	3694.0
387.0	3782.0
388.0	3736.0
389.0	3728.0
390.0	3619.0
391.0	3574.0
392.0	3525.0
393.0	3542.0
394.0	3502.0
395.0	3491.0
396.0	3439.0
397.0	3329.0
398.0	3279.0
399.0	3477.0
400.0	3297.0
401.0	3363.0
402.0	3221.0
403.0	3124.0
404.0	3210.0
405.0	3130.0
406.0	3122.0
407.0	2995.0
408.0	3161.0
409.0	3036.0
410.0	3060.0
411.0	3142.0
412.0	2915.0
413.0	2888.0
414.0	2883.0
415.0	2864.0
416.0	2901.0
417.0	2873.0
418.0	2878.0
419.0	2813.0
420.0	2790.0
421.0	2777.0
422.0	2673.0
423.0	2709.0
424.0	2712.0
425.0	2504.0
426.0	2550.0
427.0	2614.0
428.0	2516.0
429.0	2561.0
430.0	2518.0
431.0	2506.0
432.0	2462.0
433.0	2422.0
434.0	2436.0
435.0	2248.0
436.0	2409.0
437.0	2330.0
438.0	2306.0
439.0	2283.0
440.0	2303.0
441.0	2239.0
442.0	2154.0
443.0	2304.0
444.0	2211.0
445.0	2115.0
446.0	2023.0
447.0	2041.0
448.0	2031.0
449.0	2125.0
450.0	2144.0
451.0	2005.0
452.0	2068.0
453.0	1947.0
454.0	2005.0
455.0	1907.0
456.0	1857.0
457.0	1928.0
458.0	1908.0
459.0	1866.0
460.0	1870.0
461.0	1852.0
462.0	1846.0
463.0	1733.0
464.0	1767.0
465.0	1828.0
466.0	1709.0
467.0	1709.0
468.0	1790.0
469.0	1673.0
470.0	1698.0
471.0	1658.0
472.0	1611.0
473.0	1626.0
474.0	1586.0
475.0	1574.0
476.0	1537.0
477.0	1572.0
478.0	1475.0
479.0	1517.0
480.0	1511.0
481.0	1534.0
482.0	1448.0
483.0	1462.0
484.0	1412.0
485.0	1384.0
486.0	1367.0
487.0	1363.0
488.0	1319.0
489.0	1387.0
490.0	1353.0
491.0	1316.0
492.0	1348.0
493.0	1251.0
494.0	1323.0
495.0	1255.0
496.0	1264.0
497.0	1174.0
498.0	1209.0
499.0	1268.0
500.0	1187.0
501.0	1151.0
502.0	1180.0
503.0	1155.0
504.0	1113.0
505.0	1085.0
506.0	1105.0
507.0	1063.0
508.0	1072.0
509.0	1141.0
510.0	1070.0
511.0	1087.0
512.0	1038.0
513.0	988.0
514.0	988.0
515.0	1012.0
516.0	947.0
517.0	913.0
518.0	976.0
519.0	957.0
520.0	953.0
521.0	978.0
522.0	845.0
523.0	896.0
524.0	857.0
525.0	795.0
526.0	856.0
527.0	847.0
528.0	817.0
529.0	832.0
530.0	827.0
531.0	788.0
532.0	758.0
533.0	749.0
534.0	774.0
535.0	773.0
536.0	719.0
537.0	706.0
538.0	717.0
539.0	733.0
540.0	708.0
541.0	674.0
542.0	717.0
543.0	675.0
544.0	659.0
545.0	686.0
546.0	608.0
547.0	646.0
548.0	637.0
549.0	566.0
550.0	638.0
551.0	602.0
552.0	608.0
553.0	572.0
554.0	547.0
555.0	576.0
556.0	596.0
557.0	548.0
558.0	495.0
559.0	561.0
560.0	494.0
561.0	505.0
562.0	501.0
563.0	515.0
564.0	520.0
565.0	469.0
566.0	454.0
567.0	449.0
568.0	474.0
569.0	492.0
570.0	442.0
571.0	446.0
572.0	406.0
573.0	454.0
574.0	423.0
575.0	433.0
576.0	405.0
577.0	395.0
578.0	406.0
579.0	377.0
580.0	392.0
581.0	347.0
582.0	361.0
583.0	368.0
584.0	351.0
585.0	345.0
586.0	333.0
587.0	372.0
588.0	335.0
