#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	3.181042682170362E-6
5.0	0.0
6.0	1.060347560723454E-6
7.0	7.422432925064178E-6
8.0	6.3620853643407235E-6
9.0	1.590521341085181E-5
10.0	1.590521341085181E-5
11.0	2.6508689018086348E-5
12.0	4.347424998966161E-5
13.0	6.150015852196033E-5
14.0	7.210363412919487E-5
15.0	9.118989022221704E-5
16.0	1.1345718899740957E-4
17.0	1.7601769508009338E-4
18.0	2.2903507311626607E-4
19.0	2.968973170025671E-4
20.0	3.414319145529522E-4
21.0	4.888202254935123E-4
22.0	6.457516644805835E-4
23.0	8.599418717467213E-4
24.0	0.001368908700893979
25.0	0.002137660682418483
26.0	0.0026763172432659977
27.0	0.004473606358692252
28.0	0.0064988701996740485
29.0	0.009727628522076967
30.0	0.014279700600262756
31.0	0.020040568897673278
32.0	0.027035681755765904
33.0	0.03495435733924866
34.0	0.0435908882213412
35.0	0.052932550231314816
36.0	0.061222347461050784
37.0	0.06815489981306072
38.0	0.07247369542788736
39.0	0.0744332177201043
40.0	0.07364962087272965
41.0	0.06945488592250769
42.0	0.0638636732348129
43.0	0.05686431898647739
44.0	0.04920542855537188
45.0	0.040997278087811624
46.0	0.033802819888302985
47.0	0.026854362322882193
48.0	0.021255727202262358
49.0	0.016793784666738063
50.0	0.013106956198102614
51.0	0.011726383674040677
52.0	0.0071891564617050175
53.0	0.005348393096289102
54.0	0.003580793712563104
55.0	0.0022765662128732557
56.0	0.0015131159691523688
57.0	9.362868961188098E-4
58.0	6.616568778914354E-4
59.0	4.7079431696121353E-4
60.0	3.2234565845993006E-4
61.0	2.1312985970541425E-4
62.0	1.3466414021187864E-4
63.0	1.081554511937923E-4
64.0	4.241390242893816E-5
65.0	4.241390242893816E-5
66.0	2.5448341457362894E-5
67.0	2.120695121446908E-5
68.0	1.060347560723454E-5
69.0	6.362085364340724E-6
70.0	5.30173780361727E-6
71.0	2.120695121446908E-6
72.0	2.120695121446908E-6
73.0	4.241390242893816E-6
74.0	0.0
75.0	1.060347560723454E-6
76.0	0.0
77.0	1.060347560723454E-6
78.0	0.0
79.0	0.0
80.0	1.060347560723454E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.060347560723454E-6
89.0	0.0
90.0	1.060347560723454E-6
91.0	1.060347560723454E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	4.241390242893816E-6
