#Mapping quality	mapping quality
0.0	233527.0
1.0	153350.0
2.0	43371.0
3.0	28666.0
4.0	21973.0
5.0	21885.0
6.0	20130.0
7.0	20141.0
8.0	23207.0
9.0	27138.0
10.0	35865.0
11.0	29179.0
12.0	21354.0
13.0	17073.0
14.0	16645.0
15.0	16706.0
16.0	17778.0
17.0	18364.0
18.0	17917.0
19.0	18834.0
20.0	18605.0
21.0	18843.0
22.0	17181.0
23.0	16519.0
24.0	15620.0
25.0	15040.0
26.0	13840.0
27.0	14074.0
28.0	14721.0
29.0	15115.0
30.0	16416.0
31.0	18054.0
32.0	18392.0
33.0	20459.0
34.0	22289.0
35.0	26233.0
36.0	30964.0
37.0	38341.0
38.0	54843.0
39.0	104478.0
40.0	324970.0
41.0	1369636.0
42.0	4481839.0
43.0	4641095.0
44.0	18329.0
