#Coverage (X)	Coverage
1.0	99.19780243734014
2.0	99.12300666976225
3.0	98.94541504741466
4.0	98.62876893799964
5.0	98.08602459220349
6.0	97.27325707888515
7.0	96.0871441021526
8.0	94.54426033171549
9.0	92.58187701759589
10.0	90.19079789143879
11.0	87.341435317043
12.0	84.04827465091401
13.0	80.35200814667637
14.0	76.26219400095664
15.0	71.91331324357239
16.0	67.36587370101682
17.0	62.67181208026089
18.0	57.86820135221338
19.0	53.118032623720865
20.0	48.467468200694164
21.0	43.94663861174186
22.0	39.61833841198213
23.0	35.53006246141659
24.0	31.729141107196156
25.0	28.2263499410427
26.0	25.025250666174216
27.0	22.1113826030128
28.0	19.49977400047132
29.0	17.173101655369422
30.0	15.116625216282984
31.0	13.301439775341251
32.0	11.695103398383083
33.0	10.286733560333644
34.0	9.048585168919729
35.0	7.954887286076726
36.0	6.991623416923673
37.0	6.151974503798385
38.0	5.426801857843614
39.0	4.806390995224589
40.0	4.256835817408813
41.0	3.777050539581566
42.0	3.3528377027260774
43.0	2.9933524469846873
44.0	2.6719025623287536
45.0	2.4021590666527715
46.0	2.161180642924421
47.0	1.9547663691314483
48.0	1.7745836693850805
49.0	1.6139944501589554
50.0	1.4743312655438672
51.0	1.3472204114383857
