#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	3.7294924533720208E-6
10.0	3.7294924533720208E-6
11.0	3.7294924533720208E-6
12.0	3.7294924533720208E-6
13.0	7.4589849067440415E-6
14.0	3.7294924533720208E-6
15.0	2.2376954720232125E-5
16.0	7.4589849067440415E-6
17.0	1.1188477360116063E-5
18.0	3.729492453372021E-5
19.0	5.594238680058031E-5
20.0	1.0442578869441658E-4
21.0	2.349580245624373E-4
22.0	3.4311330571022594E-4
23.0	7.570869680345202E-4
24.0	0.0012419209869728826
25.0	0.0023234737984507686
26.0	0.003088019751392033
27.0	0.005497271876270359
28.0	0.008704635386170294
29.0	0.01302711713962847
30.0	0.01715193579305792
31.0	0.02377551439024663
32.0	0.03140605594984578
33.0	0.03921561314720679
34.0	0.04749508639369268
35.0	0.055920009845860076
36.0	0.06367735414887388
37.0	0.06908511820626331
38.0	0.07150555880850173
39.0	0.07202022876706708
40.0	0.07022261340454178
41.0	0.06601201642468477
42.0	0.061409822737223695
43.0	0.05157515113768167
44.0	0.04555202082548586
45.0	0.0382683220640503
46.0	0.031156179955469855
47.0	0.025110672688553815
48.0	0.01942319669716148
49.0	0.01582050698720411
50.0	0.012937609320747537
51.0	0.011885892448896629
52.0	0.007294887238795672
53.0	0.0058105492423536085
54.0	0.0037071154986517887
55.0	0.0024167111097850693
56.0	0.0015328213983359005
57.0	0.0010293399171306778
58.0	6.414727019799875E-4
59.0	4.4008010949789846E-4
60.0	3.953262000574342E-4
61.0	2.2004005474894923E-4
62.0	1.4172071322813678E-4
63.0	8.577832642755648E-5
64.0	6.340137170732436E-5
65.0	2.9835939626976163E-5
66.0	1.8647462266860105E-5
67.0	1.4917969813488081E-5
68.0	7.4589849067440415E-6
69.0	3.7294924533720208E-6
70.0	0.0
71.0	0.0
72.0	0.0
73.0	7.4589849067440415E-6
74.0	0.0
75.0	3.7294924533720208E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	3.7294924533720208E-6
80.0	3.7294924533720208E-6
81.0	0.0
82.0	3.7294924533720208E-6
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.4917969813488083E-5
