#Mapping quality	mapping quality
0.0	79894.0
1.0	267312.0
2.0	43218.0
3.0	32066.0
4.0	25420.0
5.0	21058.0
6.0	21673.0
7.0	21000.0
8.0	20623.0
9.0	26273.0
10.0	32760.0
11.0	42204.0
12.0	21042.0
13.0	17705.0
14.0	17024.0
15.0	15297.0
16.0	16848.0
17.0	16385.0
18.0	17157.0
19.0	15905.0
20.0	16185.0
21.0	16791.0
22.0	15376.0
23.0	15519.0
24.0	13510.0
25.0	13116.0
26.0	13710.0
27.0	13397.0
28.0	13379.0
29.0	12460.0
30.0	12671.0
31.0	14208.0
32.0	13995.0
33.0	14981.0
34.0	17020.0
35.0	17855.0
36.0	21991.0
37.0	25966.0
38.0	37154.0
39.0	61153.0
40.0	144576.0
41.0	381695.0
42.0	1341731.0
43.0	7480778.0
44.0	1559500.0
