#Duplication rate	Coverage
1.0	1920199.0
2.0	795949.0
3.0	329494.0
4.0	171222.0
5.0	90229.0
6.0	52590.0
7.0	31931.0
8.0	20263.0
9.0	13359.0
10.0	9029.0
11.0	6469.0
12.0	4524.0
13.0	3393.0
14.0	2513.0
15.0	2008.0
16.0	1472.0
17.0	1179.0
18.0	972.0
19.0	789.0
20.0	709.0
21.0	578.0
22.0	501.0
23.0	438.0
24.0	371.0
25.0	367.0
26.0	271.0
27.0	246.0
28.0	256.0
29.0	215.0
30.0	200.0
31.0	203.0
32.0	198.0
33.0	164.0
34.0	162.0
35.0	167.0
36.0	135.0
37.0	145.0
38.0	117.0
39.0	137.0
40.0	119.0
41.0	122.0
42.0	86.0
43.0	111.0
44.0	95.0
45.0	101.0
46.0	88.0
47.0	83.0
48.0	80.0
49.0	67.0
50.0	2891.0
