#Insert size (bp)	insert size
139.0	1.0
141.0	1.0
142.0	2.0
144.0	2.0
146.0	2.0
147.0	2.0
148.0	4.0
149.0	43.0
150.0	13876.0
151.0	27224.0
152.0	27382.0
153.0	27682.0
154.0	27904.0
155.0	27505.0
156.0	28193.0
157.0	27773.0
158.0	27257.0
159.0	27039.0
160.0	27220.0
161.0	27145.0
162.0	27012.0
163.0	27214.0
164.0	27085.0
165.0	27237.0
166.0	27624.0
167.0	27537.0
168.0	26761.0
169.0	27066.0
170.0	26468.0
171.0	26624.0
172.0	26305.0
173.0	26508.0
174.0	26670.0
175.0	26032.0
176.0	26507.0
177.0	26405.0
178.0	26371.0
179.0	26094.0
180.0	25660.0
181.0	25594.0
182.0	25484.0
183.0	25189.0
184.0	25365.0
185.0	25054.0
186.0	25165.0
187.0	25837.0
188.0	24986.0
189.0	24863.0
190.0	24468.0
191.0	24228.0
192.0	23808.0
193.0	23641.0
194.0	23705.0
195.0	23710.0
196.0	23658.0
197.0	23690.0
198.0	23470.0
199.0	23306.0
200.0	22916.0
201.0	22439.0
202.0	22099.0
203.0	21925.0
204.0	21836.0
205.0	21415.0
206.0	22025.0
207.0	21609.0
208.0	21736.0
209.0	21216.0
210.0	21095.0
211.0	20567.0
212.0	20480.0
213.0	19985.0
214.0	19690.0
215.0	19611.0
216.0	19317.0
217.0	19516.0
218.0	19032.0
219.0	19014.0
220.0	19122.0
221.0	18543.0
222.0	18509.0
223.0	17889.0
224.0	17641.0
225.0	17638.0
226.0	17132.0
227.0	17024.0
228.0	17108.0
229.0	17062.0
230.0	16609.0
231.0	16530.0
232.0	16058.0
233.0	16050.0
234.0	15586.0
235.0	15405.0
236.0	15404.0
237.0	15058.0
238.0	14909.0
239.0	14836.0
240.0	14864.0
241.0	14851.0
242.0	14367.0
243.0	14266.0
244.0	13958.0
245.0	13294.0
246.0	13605.0
247.0	13298.0
248.0	13367.0
249.0	13171.0
250.0	13081.0
251.0	12775.0
252.0	12515.0
253.0	12572.0
254.0	12333.0
255.0	12078.0
256.0	11606.0
257.0	11696.0
258.0	11674.0
259.0	11595.0
260.0	11432.0
261.0	11355.0
262.0	11313.0
263.0	10867.0
264.0	10527.0
265.0	10114.0
266.0	10001.0
267.0	9917.0
268.0	9784.0
269.0	9628.0
270.0	9812.0
271.0	9129.0
272.0	9220.0
273.0	9179.0
274.0	9110.0
275.0	9226.0
276.0	9125.0
277.0	8998.0
278.0	9029.0
279.0	8965.0
280.0	8898.0
281.0	8830.0
282.0	8942.0
283.0	8927.0
284.0	8953.0
285.0	8695.0
286.0	8604.0
287.0	8542.0
288.0	8491.0
289.0	8477.0
290.0	8395.0
291.0	8324.0
292.0	8306.0
293.0	8424.0
294.0	8304.0
295.0	8201.0
296.0	8144.0
297.0	8233.0
298.0	7915.0
299.0	7891.0
300.0	7950.0
301.0	7930.0
302.0	7639.0
303.0	7804.0
304.0	7675.0
305.0	7552.0
306.0	7703.0
307.0	7559.0
308.0	7672.0
309.0	7554.0
310.0	7579.0
311.0	7471.0
312.0	7306.0
313.0	7390.0
314.0	7314.0
315.0	7326.0
316.0	7207.0
317.0	7105.0
318.0	6968.0
319.0	7116.0
320.0	7090.0
321.0	7210.0
322.0	6852.0
323.0	6985.0
324.0	6860.0
325.0	6907.0
326.0	6799.0
327.0	6983.0
328.0	6724.0
329.0	6619.0
330.0	6721.0
331.0	6454.0
332.0	6522.0
333.0	6593.0
334.0	6430.0
335.0	6596.0
336.0	6382.0
337.0	6233.0
338.0	6234.0
339.0	6122.0
340.0	6283.0
341.0	6132.0
342.0	6087.0
343.0	5914.0
344.0	5964.0
345.0	6070.0
346.0	5888.0
347.0	6021.0
348.0	5835.0
349.0	5826.0
350.0	5871.0
351.0	5785.0
352.0	5744.0
353.0	5783.0
354.0	5621.0
355.0	5773.0
356.0	5615.0
357.0	5550.0
358.0	5446.0
359.0	5400.0
360.0	5428.0
361.0	5339.0
362.0	5324.0
363.0	5374.0
364.0	5450.0
365.0	5150.0
366.0	5299.0
367.0	5175.0
368.0	5026.0
369.0	5110.0
370.0	5166.0
371.0	5113.0
372.0	5045.0
373.0	4965.0
374.0	4869.0
375.0	4785.0
376.0	4780.0
377.0	4680.0
378.0	4855.0
379.0	4576.0
380.0	4630.0
381.0	4621.0
382.0	4629.0
383.0	4545.0
384.0	4514.0
385.0	4519.0
386.0	4575.0
387.0	4467.0
388.0	4443.0
389.0	4326.0
390.0	4311.0
391.0	4339.0
392.0	4181.0
393.0	4158.0
394.0	4261.0
395.0	4277.0
396.0	4185.0
397.0	4137.0
398.0	4066.0
399.0	4068.0
400.0	4022.0
401.0	3925.0
402.0	3900.0
403.0	3862.0
404.0	3918.0
405.0	3914.0
406.0	3763.0
407.0	3820.0
408.0	3827.0
409.0	3635.0
410.0	3634.0
411.0	3640.0
412.0	3557.0
413.0	3589.0
414.0	3584.0
415.0	3442.0
416.0	3478.0
417.0	3463.0
418.0	3575.0
419.0	3495.0
420.0	3369.0
421.0	3326.0
422.0	3369.0
423.0	3322.0
424.0	3298.0
425.0	3155.0
426.0	3316.0
427.0	3118.0
428.0	3212.0
429.0	3089.0
430.0	3033.0
431.0	3066.0
432.0	3036.0
433.0	3029.0
434.0	3017.0
435.0	3049.0
436.0	2967.0
437.0	2853.0
438.0	2961.0
439.0	2887.0
440.0	2861.0
441.0	2871.0
442.0	2787.0
443.0	2811.0
444.0	2652.0
445.0	2614.0
446.0	2642.0
447.0	2744.0
448.0	2641.0
449.0	2627.0
450.0	2578.0
451.0	2625.0
452.0	2554.0
453.0	2510.0
454.0	2512.0
455.0	2454.0
456.0	2447.0
457.0	2443.0
458.0	2396.0
459.0	2431.0
460.0	2238.0
461.0	2339.0
462.0	2333.0
463.0	2282.0
464.0	2235.0
465.0	2167.0
466.0	2266.0
467.0	2200.0
468.0	2155.0
469.0	2160.0
470.0	2170.0
471.0	2084.0
472.0	2133.0
473.0	2090.0
474.0	2099.0
475.0	2078.0
476.0	1986.0
477.0	1963.0
478.0	2063.0
479.0	1877.0
480.0	1898.0
481.0	1927.0
482.0	1906.0
483.0	1761.0
484.0	1813.0
485.0	1707.0
486.0	1770.0
487.0	1772.0
488.0	1725.0
489.0	1755.0
490.0	1769.0
491.0	1630.0
492.0	1696.0
493.0	1685.0
494.0	1631.0
495.0	1654.0
496.0	1617.0
497.0	1617.0
498.0	1548.0
499.0	1520.0
500.0	1529.0
501.0	1534.0
502.0	1555.0
503.0	1479.0
504.0	1515.0
505.0	1444.0
506.0	1428.0
507.0	1460.0
508.0	1437.0
509.0	1487.0
510.0	1326.0
511.0	1383.0
512.0	1299.0
513.0	1340.0
514.0	1351.0
515.0	1321.0
516.0	1302.0
517.0	1226.0
518.0	1204.0
519.0	1212.0
520.0	1188.0
521.0	1168.0
522.0	1187.0
523.0	1140.0
524.0	1130.0
525.0	1121.0
526.0	1164.0
527.0	1175.0
528.0	1094.0
529.0	1117.0
530.0	1102.0
531.0	1078.0
532.0	1121.0
533.0	1067.0
534.0	998.0
535.0	931.0
536.0	1027.0
537.0	993.0
538.0	1004.0
539.0	978.0
540.0	911.0
541.0	927.0
542.0	929.0
543.0	896.0
544.0	914.0
545.0	886.0
546.0	887.0
547.0	903.0
548.0	856.0
549.0	862.0
550.0	865.0
551.0	843.0
552.0	849.0
553.0	818.0
554.0	827.0
555.0	787.0
556.0	796.0
557.0	721.0
558.0	746.0
559.0	716.0
560.0	683.0
561.0	692.0
562.0	729.0
563.0	719.0
564.0	713.0
565.0	703.0
566.0	728.0
567.0	620.0
568.0	621.0
569.0	624.0
570.0	609.0
571.0	639.0
572.0	659.0
573.0	602.0
574.0	562.0
575.0	569.0
576.0	553.0
577.0	539.0
578.0	533.0
579.0	520.0
580.0	529.0
581.0	544.0
582.0	522.0
583.0	535.0
584.0	474.0
585.0	484.0
586.0	479.0
587.0	504.0
588.0	474.0
589.0	477.0
590.0	455.0
591.0	437.0
592.0	430.0
593.0	451.0
594.0	425.0
595.0	459.0
596.0	436.0
597.0	430.0
598.0	409.0
599.0	398.0
600.0	428.0
601.0	409.0
602.0	374.0
603.0	384.0
604.0	371.0
605.0	361.0
606.0	367.0
607.0	341.0
608.0	344.0
609.0	374.0
610.0	302.0
611.0	350.0
612.0	320.0
613.0	337.0
614.0	341.0
