#Duplication rate	Coverage
1.0	1797279.0
2.0	792075.0
3.0	304570.0
4.0	163405.0
5.0	82045.0
6.0	48313.0
7.0	28373.0
8.0	17959.0
9.0	11158.0
10.0	7797.0
11.0	5201.0
12.0	3723.0
13.0	2792.0
14.0	2113.0
15.0	1548.0
16.0	1265.0
17.0	971.0
18.0	807.0
19.0	665.0
20.0	593.0
21.0	445.0
22.0	443.0
23.0	386.0
24.0	344.0
25.0	319.0
26.0	290.0
27.0	250.0
28.0	265.0
29.0	249.0
30.0	224.0
31.0	188.0
32.0	204.0
33.0	190.0
34.0	175.0
35.0	161.0
36.0	186.0
37.0	180.0
38.0	148.0
39.0	158.0
40.0	137.0
41.0	139.0
42.0	145.0
43.0	119.0
44.0	111.0
45.0	103.0
46.0	102.0
47.0	101.0
48.0	107.0
49.0	100.0
50.0	4560.0
