#Insert size (bp)	insert size
134.0	1.0
141.0	1.0
142.0	1.0
144.0	1.0
145.0	1.0
146.0	3.0
147.0	4.0
148.0	8.0
149.0	38.0
150.0	14327.0
151.0	27920.0
152.0	27858.0
153.0	28296.0
154.0	28461.0
155.0	28473.0
156.0	28984.0
157.0	28202.0
158.0	27777.0
159.0	27864.0
160.0	27788.0
161.0	27976.0
162.0	27434.0
163.0	28063.0
164.0	27940.0
165.0	28102.0
166.0	28190.0
167.0	28182.0
168.0	27885.0
169.0	27596.0
170.0	27003.0
171.0	27522.0
172.0	27150.0
173.0	27018.0
174.0	27359.0
175.0	27222.0
176.0	27673.0
177.0	27271.0
178.0	27154.0
179.0	27168.0
180.0	26783.0
181.0	26524.0
182.0	27024.0
183.0	26556.0
184.0	26687.0
185.0	26253.0
186.0	26556.0
187.0	26647.0
188.0	26427.0
189.0	26306.0
190.0	25828.0
191.0	25660.0
192.0	25659.0
193.0	25183.0
194.0	25132.0
195.0	25421.0
196.0	25189.0
197.0	25163.0
198.0	25357.0
199.0	25153.0
200.0	24688.0
201.0	24119.0
202.0	24319.0
203.0	23734.0
204.0	23760.0
205.0	23744.0
206.0	24008.0
207.0	23871.0
208.0	23720.0
209.0	23711.0
210.0	23191.0
211.0	23021.0
212.0	22832.0
213.0	22229.0
214.0	21658.0
215.0	21748.0
216.0	21756.0
217.0	21801.0
218.0	21750.0
219.0	21580.0
220.0	21351.0
221.0	20632.0
222.0	20867.0
223.0	20118.0
224.0	19949.0
225.0	19628.0
226.0	19306.0
227.0	19246.0
228.0	18957.0
229.0	19114.0
230.0	19024.0
231.0	18455.0
232.0	18143.0
233.0	17797.0
234.0	17263.0
235.0	16683.0
236.0	16877.0
237.0	16499.0
238.0	16662.0
239.0	16433.0
240.0	16222.0
241.0	16241.0
242.0	15721.0
243.0	15485.0
244.0	14824.0
245.0	14454.0
246.0	14185.0
247.0	13876.0
248.0	14000.0
249.0	13871.0
250.0	13381.0
251.0	13497.0
252.0	13040.0
253.0	12838.0
254.0	12531.0
255.0	12255.0
256.0	11835.0
257.0	11613.0
258.0	11333.0
259.0	11020.0
260.0	10840.0
261.0	10703.0
262.0	10542.0
263.0	10045.0
264.0	9722.0
265.0	8844.0
266.0	8574.0
267.0	8497.0
268.0	8394.0
269.0	8253.0
270.0	8037.0
271.0	7665.0
272.0	7680.0
273.0	7575.0
274.0	7503.0
275.0	7540.0
276.0	7555.0
277.0	7478.0
278.0	7470.0
279.0	7261.0
280.0	7328.0
281.0	7293.0
282.0	7294.0
283.0	7177.0
284.0	7248.0
285.0	7037.0
286.0	7125.0
287.0	7121.0
288.0	7043.0
289.0	6876.0
290.0	6843.0
291.0	6720.0
292.0	6729.0
293.0	6948.0
294.0	6794.0
295.0	6691.0
296.0	6517.0
297.0	6465.0
298.0	6528.0
299.0	6504.0
300.0	6363.0
301.0	6427.0
302.0	6398.0
303.0	6235.0
304.0	6353.0
305.0	6194.0
306.0	6314.0
307.0	6226.0
308.0	6158.0
309.0	6246.0
310.0	6167.0
311.0	6065.0
312.0	5989.0
313.0	5952.0
314.0	5764.0
315.0	5926.0
316.0	5900.0
317.0	5725.0
318.0	5580.0
319.0	5785.0
320.0	5528.0
321.0	5623.0
322.0	5504.0
323.0	5500.0
324.0	5447.0
325.0	5429.0
326.0	5322.0
327.0	5475.0
328.0	5383.0
329.0	5365.0
330.0	5353.0
331.0	5312.0
332.0	5177.0
333.0	5267.0
334.0	5010.0
335.0	5153.0
336.0	5168.0
337.0	4972.0
338.0	4994.0
339.0	4848.0
340.0	5031.0
341.0	4866.0
342.0	4850.0
343.0	4812.0
344.0	4932.0
345.0	4686.0
346.0	4528.0
347.0	4843.0
348.0	4705.0
349.0	4723.0
350.0	4730.0
351.0	4743.0
352.0	4549.0
353.0	4579.0
354.0	4564.0
355.0	4504.0
356.0	4410.0
357.0	4327.0
358.0	4232.0
359.0	4289.0
360.0	4222.0
361.0	4308.0
362.0	4253.0
363.0	4157.0
364.0	4309.0
365.0	4040.0
366.0	4125.0
367.0	4088.0
368.0	3988.0
369.0	4084.0
370.0	3935.0
371.0	4067.0
372.0	3848.0
373.0	3849.0
374.0	3832.0
375.0	3886.0
376.0	3732.0
377.0	3814.0
378.0	3736.0
379.0	3713.0
380.0	3694.0
381.0	3640.0
382.0	3640.0
383.0	3528.0
384.0	3553.0
385.0	3449.0
386.0	3532.0
387.0	3522.0
388.0	3442.0
389.0	3415.0
390.0	3389.0
391.0	3358.0
392.0	3222.0
393.0	3263.0
394.0	3284.0
395.0	3250.0
396.0	3205.0
397.0	3169.0
398.0	3136.0
399.0	3148.0
400.0	3107.0
401.0	3009.0
402.0	3113.0
403.0	2967.0
404.0	3041.0
405.0	3074.0
406.0	2966.0
407.0	2873.0
408.0	3025.0
409.0	2878.0
410.0	2939.0
411.0	2782.0
412.0	2733.0
413.0	2850.0
414.0	2653.0
415.0	2761.0
416.0	2779.0
417.0	2688.0
418.0	2731.0
419.0	2567.0
420.0	2580.0
421.0	2730.0
422.0	2544.0
423.0	2686.0
424.0	2522.0
425.0	2504.0
426.0	2506.0
427.0	2373.0
428.0	2414.0
429.0	2394.0
430.0	2304.0
431.0	2450.0
432.0	2390.0
433.0	2476.0
434.0	2367.0
435.0	2276.0
436.0	2235.0
437.0	2184.0
438.0	2228.0
439.0	2141.0
440.0	2233.0
441.0	2167.0
442.0	2125.0
443.0	2140.0
444.0	2128.0
445.0	2135.0
446.0	1997.0
447.0	2001.0
448.0	1919.0
449.0	1993.0
450.0	1888.0
451.0	1949.0
452.0	1843.0
453.0	1924.0
454.0	1926.0
455.0	1871.0
456.0	1842.0
457.0	1892.0
458.0	1842.0
459.0	1732.0
460.0	1770.0
461.0	1811.0
462.0	1786.0
463.0	1774.0
464.0	1736.0
465.0	1810.0
466.0	1679.0
467.0	1628.0
468.0	1607.0
469.0	1611.0
470.0	1591.0
