#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	1.043859859726112E-6
4.0	0.0
5.0	1.043859859726112E-6
6.0	0.0
7.0	2.087719719452224E-6
8.0	2.087719719452224E-6
9.0	2.087719719452224E-6
10.0	5.21929929863056E-6
11.0	7.307019018082785E-6
12.0	1.1482458456987232E-5
13.0	2.087719719452224E-5
14.0	1.7745617615343905E-5
15.0	3.549123523068781E-5
16.0	4.071053452931837E-5
17.0	5.9500012004388385E-5
18.0	7.202633032110173E-5
19.0	1.1064914513096789E-4
20.0	1.6910529727563018E-4
21.0	2.1607899096330523E-4
22.0	2.8914918114413305E-4
23.0	4.0084218613482706E-4
24.0	6.002194193425144E-4
25.0	9.739212491244625E-4
26.0	0.0011513774252779017
27.0	0.0018685091489097404
28.0	0.002933246205830375
29.0	0.004649351815220103
30.0	0.007610782237263083
31.0	0.011937581355827818
32.0	0.018580705503124795
33.0	0.02671968082940929
34.0	0.03692654253781121
35.0	0.047633413119021945
36.0	0.05796449415073127
37.0	0.06725902234173257
38.0	0.0735837692318131
39.0	0.07692829622237557
40.0	0.07675919092509993
41.0	0.07442512027875235
42.0	0.06964111054162757
43.0	0.06256582841240398
44.0	0.05469408121020936
45.0	0.046286833899975253
46.0	0.038324270889984476
47.0	0.031388865981964185
48.0	0.02482611904386612
49.0	0.01996173209754244
50.0	0.01693558236419644
51.0	0.01554307331132181
52.0	0.009476159806593646
53.0	0.007080501428522219
54.0	0.004577325484899001
55.0	0.0029353339255498274
56.0	0.0019791582940407084
57.0	0.0013350967605896974
58.0	7.735001560570489E-4
59.0	5.720352031299094E-4
60.0	4.4155272066414544E-4
61.0	2.745351431079675E-4
62.0	1.377895014838468E-4
63.0	8.66403683572673E-5
64.0	5.845615214466228E-5
65.0	4.3842114108496704E-5
66.0	2.9228076072331135E-5
67.0	2.2964916913974464E-5
68.0	1.043859859726112E-5
69.0	4.175439438904448E-6
70.0	2.087719719452224E-6
71.0	3.1315795791783364E-6
72.0	2.087719719452224E-6
73.0	2.087719719452224E-6
74.0	0.0
75.0	3.131579579178336E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	1.043859859726112E-6
80.0	2.087719719452224E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.350878877808896E-6
