#Mapping quality	mapping quality
0.0	257095.0
1.0	136247.0
2.0	44134.0
3.0	29287.0
4.0	25195.0
5.0	20683.0
6.0	21415.0
7.0	20398.0
8.0	23460.0
9.0	28855.0
10.0	35769.0
11.0	28439.0
12.0	20626.0
13.0	19144.0
14.0	18468.0
15.0	18424.0
16.0	19792.0
17.0	18665.0
18.0	19396.0
19.0	18843.0
20.0	17881.0
21.0	17446.0
22.0	19248.0
23.0	17766.0
24.0	17917.0
25.0	16893.0
26.0	15615.0
27.0	15187.0
28.0	15914.0
29.0	16380.0
30.0	17228.0
31.0	17933.0
32.0	20831.0
33.0	24723.0
34.0	28211.0
35.0	35747.0
36.0	50580.0
37.0	85991.0
38.0	163345.0
39.0	370535.0
40.0	1007690.0
41.0	2585844.0
42.0	4312832.0
43.0	2404726.0
44.0	22316.0
