#Duplication rate	Coverage
1.0	1559586.0
2.0	473788.0
3.0	153480.0
4.0	64397.0
5.0	28481.0
6.0	14964.0
7.0	7907.0
8.0	4898.0
9.0	3096.0
10.0	2229.0
11.0	1576.0
12.0	1183.0
13.0	946.0
14.0	776.0
15.0	623.0
16.0	527.0
17.0	444.0
18.0	426.0
19.0	362.0
20.0	302.0
21.0	299.0
22.0	270.0
23.0	280.0
24.0	218.0
25.0	197.0
26.0	196.0
27.0	160.0
28.0	173.0
29.0	155.0
30.0	153.0
31.0	119.0
32.0	121.0
33.0	121.0
34.0	129.0
35.0	114.0
36.0	102.0
37.0	85.0
38.0	86.0
39.0	86.0
40.0	98.0
41.0	74.0
42.0	70.0
43.0	74.0
44.0	77.0
45.0	78.0
46.0	61.0
47.0	48.0
48.0	54.0
49.0	58.0
50.0	1598.0
