#Coverage (X)	Coverage
1.0	99.92930060240494
2.0	99.91961079549777
3.0	99.90742861890227
4.0	99.88935688225116
5.0	99.86024633331702
6.0	99.82330497268882
7.0	99.77237179410723
8.0	99.69941034481482
9.0	99.60530899420544
10.0	99.47882328893269
11.0	99.31482042805422
12.0	99.101570645314
13.0	98.83682834029976
14.0	98.50508817683158
15.0	98.09143706499204
16.0	97.59739674865027
17.0	97.01233147200752
18.0	96.34650683694844
19.0	95.55584985076628
20.0	94.63626414347824
21.0	93.5627602130606
22.0	92.33569998778492
23.0	90.94379788609213
24.0	89.38054742473639
25.0	87.65037399940199
26.0	85.77749390171427
27.0	83.7237730528773
28.0	81.52291191036024
29.0	79.1665532213467
30.0	76.65853013525836
31.0	74.07140927054591
32.0	71.40225407282409
33.0	68.64278954570187
34.0	65.84429434474737
35.0	62.98275781939862
36.0	60.098609002718995
37.0	57.21352246279029
38.0	54.32746529704236
39.0	51.469975787821205
40.0	48.665245549824576
41.0	45.917009024763715
42.0	43.23186317795232
43.0	40.64955431412331
44.0	38.14849834726277
45.0	35.75076467629424
46.0	33.45928162996043
47.0	31.25590344082741
48.0	29.174593786925428
49.0	27.179126938526892
50.0	25.29826796757945
51.0	23.53887705995794
