#Mapping quality	mapping quality
0.0	152394.0
1.0	208737.0
2.0	45333.0
3.0	32663.0
4.0	23469.0
5.0	20281.0
6.0	22016.0
7.0	21299.0
8.0	22605.0
9.0	26656.0
10.0	34517.0
11.0	36164.0
12.0	20355.0
13.0	16928.0
14.0	16701.0
15.0	17477.0
16.0	16396.0
17.0	17401.0
18.0	17106.0
19.0	17923.0
20.0	17527.0
21.0	16936.0
22.0	16578.0
23.0	16841.0
24.0	15085.0
25.0	14160.0
26.0	13539.0
27.0	14394.0
28.0	13951.0
29.0	14192.0
30.0	15799.0
31.0	15634.0
32.0	16105.0
33.0	17668.0
34.0	19034.0
35.0	21540.0
36.0	25702.0
37.0	32113.0
38.0	44032.0
39.0	75956.0
40.0	207374.0
41.0	781606.0
42.0	2915278.0
43.0	6734860.0
44.0	286185.0
