#Coverage (X)	Coverage
1.0	99.24499294856794
2.0	99.24257460966241
3.0	99.23457928511763
4.0	99.2282948942203
5.0	99.2161127176248
6.0	99.20546051054096
7.0	99.19071193347429
8.0	99.1736108226424
9.0	99.14716538188985
10.0	99.11776693546696
11.0	99.08370454972628
12.0	99.04424614248211
13.0	98.993535056249
14.0	98.94038095418276
15.0	98.87141716716275
16.0	98.79448273252555
17.0	98.70350712607977
18.0	98.60373830776324
19.0	98.48532195781809
20.0	98.35628630335923
21.0	98.21047033812738
22.0	98.05224187830902
23.0	97.86858795741256
24.0	97.67265315221017
25.0	97.45030580882538
26.0	97.20090432714038
27.0	96.9344264115511
28.0	96.63534204894998
29.0	96.30996030716194
30.0	95.95147035416738
31.0	95.56520240632946
32.0	95.14157359009403
33.0	94.6897225943183
34.0	94.19835561180066
35.0	93.66520236520125
36.0	93.10458369817485
37.0	92.4967169404229
38.0	91.84307448195932
39.0	91.13972446565198
40.0	90.39364223637124
41.0	89.57435178852202
42.0	88.71718225679551
43.0	87.7953509490952
44.0	86.8031163669311
45.0	85.7621942065977
46.0	84.65097570515348
47.0	83.488322260933
48.0	82.25827612741685
49.0	80.97534733803812
50.0	79.6361469280721
51.0	78.22566309989097
