#Insert size (bp)	insert size
141.0	2.0
144.0	6.0
147.0	3.0
148.0	7.0
149.0	32.0
150.0	12167.0
151.0	24176.0
152.0	24174.0
153.0	24523.0
154.0	24712.0
155.0	24806.0
156.0	24884.0
157.0	24727.0
158.0	24394.0
159.0	24182.0
160.0	24069.0
161.0	24516.0
162.0	24610.0
163.0	24405.0
164.0	24230.0
165.0	25003.0
166.0	24881.0
167.0	24508.0
168.0	24303.0
169.0	24414.0
170.0	24448.0
171.0	24365.0
172.0	24337.0
173.0	24135.0
174.0	24410.0
175.0	24493.0
176.0	24410.0
177.0	24995.0
178.0	24997.0
179.0	24448.0
180.0	24694.0
181.0	24452.0
182.0	24359.0
183.0	24474.0
184.0	24645.0
185.0	24496.0
186.0	24898.0
187.0	24903.0
188.0	24976.0
189.0	25007.0
190.0	25008.0
191.0	24660.0
192.0	24607.0
193.0	24465.0
194.0	24506.0
195.0	24673.0
196.0	25009.0
197.0	24886.0
198.0	24834.0
199.0	24997.0
200.0	24887.0
201.0	24720.0
202.0	24499.0
203.0	24480.0
204.0	24606.0
205.0	24856.0
206.0	24595.0
207.0	25334.0
208.0	25374.0
209.0	25086.0
210.0	25384.0
211.0	25008.0
212.0	25112.0
213.0	24492.0
214.0	24415.0
215.0	24231.0
216.0	24735.0
217.0	24994.0
218.0	25256.0
219.0	25022.0
220.0	25461.0
221.0	25051.0
222.0	25087.0
223.0	23927.0
224.0	24097.0
225.0	24264.0
226.0	24196.0
227.0	24298.0
228.0	24885.0
229.0	24710.0
230.0	24893.0
231.0	24678.0
232.0	24407.0
233.0	23928.0
234.0	23617.0
235.0	23139.0
236.0	23240.0
237.0	23423.0
238.0	23541.0
239.0	23762.0
240.0	23965.0
241.0	23969.0
242.0	23475.0
243.0	23387.0
244.0	22729.0
245.0	22770.0
246.0	21940.0
247.0	21770.0
248.0	21983.0
249.0	22168.0
250.0	22368.0
251.0	22240.0
252.0	21887.0
253.0	21471.0
254.0	21140.0
255.0	20588.0
256.0	19547.0
257.0	19331.0
258.0	19138.0
259.0	18943.0
260.0	18653.0
261.0	18947.0
262.0	18324.0
263.0	16837.0
264.0	15196.0
265.0	12195.0
266.0	10756.0
267.0	10189.0
268.0	10061.0
269.0	9868.0
270.0	9450.0
271.0	6409.0
272.0	6282.0
273.0	6440.0
274.0	6286.0
275.0	6419.0
276.0	6276.0
277.0	6328.0
278.0	6198.0
279.0	6199.0
280.0	6080.0
281.0	6075.0
282.0	6023.0
283.0	6062.0
284.0	5992.0
