#Mapping quality	mapping quality
0.0	301903.0
1.0	101382.0
2.0	45756.0
3.0	29473.0
4.0	25751.0
5.0	23163.0
6.0	23121.0
7.0	23404.0
8.0	26940.0
9.0	33311.0
10.0	33848.0
11.0	23920.0
12.0	20228.0
13.0	18720.0
14.0	17024.0
15.0	19086.0
16.0	19698.0
17.0	18960.0
18.0	18143.0
19.0	17442.0
20.0	16313.0
21.0	16340.0
22.0	15285.0
23.0	14779.0
24.0	14732.0
25.0	14439.0
26.0	13928.0
27.0	14159.0
28.0	14699.0
29.0	16000.0
30.0	17883.0
31.0	20886.0
32.0	27098.0
33.0	38244.0
34.0	57510.0
35.0	102759.0
36.0	199335.0
37.0	418649.0
38.0	892009.0
39.0	1683107.0
40.0	2583074.0
41.0	2751927.0
42.0	1775890.0
43.0	496161.0
44.0	8839.0
