#Duplication rate	Coverage
1.0	1641822.0
2.0	474348.0
3.0	157946.0
4.0	64497.0
5.0	28755.0
6.0	14478.0
7.0	7898.0
8.0	4713.0
9.0	2911.0
10.0	1962.0
11.0	1293.0
12.0	926.0
13.0	753.0
14.0	606.0
15.0	508.0
16.0	386.0
17.0	332.0
18.0	302.0
19.0	277.0
20.0	239.0
21.0	214.0
22.0	193.0
23.0	167.0
24.0	166.0
25.0	138.0
26.0	140.0
27.0	100.0
28.0	114.0
29.0	94.0
30.0	99.0
31.0	87.0
32.0	108.0
33.0	92.0
34.0	87.0
35.0	73.0
36.0	87.0
37.0	51.0
38.0	63.0
39.0	54.0
40.0	39.0
41.0	57.0
42.0	39.0
43.0	56.0
44.0	32.0
45.0	42.0
46.0	47.0
47.0	43.0
48.0	33.0
49.0	36.0
50.0	790.0
