#Coverage (X)	Coverage
1.0	99.23663569575157
2.0	99.23192240257858
3.0	99.22156631862602
4.0	99.21487887124442
5.0	99.20293523828246
6.0	99.18900099982685
7.0	99.16912784746039
8.0	99.13889038549885
9.0	99.09806652159375
10.0	99.03938478774346
11.0	98.95529404410014
12.0	98.84263564393004
13.0	98.67822150092476
14.0	98.45547110105572
15.0	98.1606640725732
16.0	97.7816182388817
17.0	97.30338760749372
18.0	96.70287457416877
19.0	95.97372071722667
20.0	95.09116685263473
21.0	94.05754906287311
22.0	92.86274980762279
23.0	91.49817329043387
24.0	89.96763620944296
25.0	88.26551222515558
26.0	86.40998823321836
27.0	84.41616651332698
28.0	82.30027625820456
29.0	80.070913264301
30.0	77.73099763471649
31.0	75.29598535177577
32.0	72.78774017333896
33.0	70.19670390277949
34.0	67.58603302348709
35.0	64.94901541115257
36.0	62.30628097725568
37.0	59.66340670743569
38.0	57.05911070110852
39.0	54.480388217425116
40.0	51.94007948438382
41.0	49.481772181781764
42.0	47.05841563431426
43.0	44.685572757659
44.0	42.426803091690005
45.0	40.22227331260197
46.0	38.099424163894284
47.0	36.03613689278821
48.0	34.060082560774134
49.0	32.16768301334899
50.0	30.38635431708454
51.0	28.68159812718571
