#Insert size (bp)	insert size
144.0	2.0
145.0	3.0
147.0	2.0
148.0	3.0
149.0	16.0
150.0	4636.0
151.0	8809.0
152.0	9086.0
153.0	9062.0
154.0	9190.0
155.0	9288.0
156.0	9342.0
157.0	9179.0
158.0	8964.0
159.0	8782.0
160.0	8683.0
161.0	8944.0
162.0	8822.0
163.0	8927.0
164.0	9009.0
165.0	9120.0
166.0	9115.0
167.0	8919.0
168.0	8869.0
169.0	8995.0
170.0	8675.0
171.0	8969.0
172.0	8672.0
173.0	8712.0
174.0	8867.0
175.0	8619.0
176.0	8756.0
177.0	8968.0
178.0	8859.0
179.0	8527.0
180.0	8663.0
181.0	8543.0
182.0	8435.0
183.0	8447.0
184.0	8493.0
185.0	8556.0
186.0	8537.0
187.0	8569.0
188.0	8476.0
189.0	8443.0
190.0	8491.0
191.0	8303.0
192.0	8465.0
193.0	8095.0
194.0	8130.0
195.0	8406.0
196.0	8190.0
197.0	8345.0
198.0	8253.0
199.0	8192.0
200.0	8161.0
201.0	7982.0
202.0	7979.0
203.0	7829.0
204.0	8003.0
205.0	7909.0
206.0	7819.0
207.0	8015.0
208.0	8066.0
209.0	7951.0
210.0	7798.0
211.0	7596.0
212.0	7601.0
213.0	7616.0
214.0	7764.0
215.0	7465.0
216.0	7451.0
217.0	7591.0
218.0	7522.0
219.0	7494.0
220.0	7487.0
221.0	7355.0
222.0	7227.0
223.0	7060.0
224.0	7293.0
225.0	7059.0
226.0	7152.0
227.0	6936.0
228.0	7045.0
229.0	7183.0
230.0	7071.0
231.0	7103.0
232.0	6937.0
233.0	6983.0
234.0	6838.0
235.0	6693.0
236.0	6819.0
237.0	6609.0
238.0	6847.0
239.0	6703.0
240.0	6630.0
241.0	6806.0
242.0	6556.0
243.0	6684.0
244.0	6544.0
245.0	6437.0
246.0	6324.0
247.0	6405.0
248.0	6328.0
249.0	6177.0
250.0	6508.0
251.0	6354.0
252.0	6103.0
253.0	6231.0
254.0	6012.0
255.0	6146.0
256.0	6100.0
257.0	6015.0
258.0	6096.0
259.0	5982.0
260.0	5836.0
261.0	5869.0
262.0	5895.0
263.0	5852.0
264.0	5744.0
265.0	5780.0
266.0	5527.0
267.0	5457.0
268.0	5637.0
269.0	5575.0
270.0	5526.0
271.0	5482.0
272.0	5451.0
273.0	5496.0
274.0	5189.0
275.0	5357.0
276.0	5379.0
277.0	5294.0
278.0	5295.0
279.0	5338.0
280.0	5330.0
281.0	5347.0
282.0	5354.0
283.0	5236.0
284.0	5346.0
285.0	5262.0
286.0	5245.0
287.0	5078.0
288.0	5169.0
289.0	5115.0
290.0	5164.0
291.0	5028.0
292.0	5029.0
293.0	4994.0
294.0	5051.0
295.0	5058.0
296.0	5046.0
297.0	5043.0
298.0	4963.0
299.0	4881.0
300.0	4879.0
301.0	4917.0
302.0	4988.0
303.0	4865.0
304.0	4717.0
305.0	4858.0
306.0	4844.0
307.0	4792.0
308.0	4931.0
309.0	4718.0
310.0	4782.0
311.0	4696.0
312.0	4726.0
313.0	4806.0
314.0	4651.0
315.0	4723.0
316.0	4529.0
317.0	4498.0
318.0	4474.0
319.0	4511.0
320.0	4623.0
321.0	4678.0
322.0	4445.0
323.0	4412.0
324.0	4468.0
325.0	4467.0
326.0	4510.0
327.0	4449.0
328.0	4515.0
329.0	4341.0
330.0	4407.0
331.0	4360.0
332.0	4345.0
333.0	4325.0
334.0	4308.0
335.0	4346.0
336.0	4345.0
337.0	4389.0
338.0	4449.0
339.0	4210.0
340.0	4208.0
341.0	4250.0
342.0	4210.0
343.0	4290.0
344.0	4198.0
345.0	4303.0
346.0	4005.0
347.0	4162.0
348.0	4251.0
349.0	4119.0
350.0	4201.0
351.0	4139.0
352.0	4042.0
353.0	4065.0
354.0	4215.0
355.0	4147.0
356.0	4020.0
357.0	4018.0
358.0	4057.0
359.0	4043.0
360.0	3979.0
361.0	4004.0
362.0	3840.0
363.0	3958.0
364.0	4009.0
365.0	3953.0
366.0	3994.0
367.0	3983.0
368.0	3752.0
369.0	3886.0
370.0	3840.0
371.0	3794.0
372.0	3748.0
373.0	3756.0
374.0	3764.0
375.0	3819.0
376.0	3739.0
377.0	3713.0
378.0	3777.0
379.0	3579.0
380.0	3693.0
381.0	3717.0
382.0	3538.0
383.0	3579.0
384.0	3559.0
385.0	3515.0
386.0	3647.0
387.0	3613.0
388.0	3475.0
389.0	3519.0
390.0	3472.0
391.0	3496.0
392.0	3460.0
393.0	3521.0
394.0	3475.0
395.0	3466.0
396.0	3458.0
397.0	3379.0
398.0	3370.0
399.0	3396.0
400.0	3408.0
401.0	3460.0
402.0	3414.0
403.0	3325.0
404.0	3261.0
405.0	3289.0
406.0	3367.0
407.0	3234.0
408.0	3329.0
409.0	3181.0
410.0	3221.0
411.0	3256.0
412.0	3143.0
413.0	3281.0
414.0	3127.0
415.0	3092.0
416.0	3195.0
417.0	3192.0
418.0	3174.0
419.0	3000.0
420.0	3048.0
421.0	3024.0
422.0	2930.0
423.0	3084.0
424.0	2982.0
425.0	3099.0
426.0	2959.0
427.0	3034.0
428.0	2963.0
429.0	2883.0
430.0	2975.0
431.0	3003.0
432.0	2860.0
433.0	2894.0
434.0	2762.0
435.0	2810.0
436.0	2811.0
437.0	2920.0
438.0	2771.0
439.0	2751.0
440.0	2859.0
441.0	2753.0
442.0	2811.0
443.0	2856.0
444.0	2876.0
445.0	2654.0
446.0	2677.0
447.0	2687.0
448.0	2648.0
449.0	2721.0
450.0	2687.0
451.0	2679.0
452.0	2586.0
453.0	2613.0
454.0	2661.0
455.0	2709.0
456.0	2547.0
457.0	2488.0
458.0	2575.0
459.0	2555.0
460.0	2506.0
461.0	2574.0
462.0	2468.0
463.0	2429.0
464.0	2416.0
465.0	2477.0
466.0	2387.0
467.0	2492.0
468.0	2353.0
469.0	2392.0
470.0	2479.0
471.0	2349.0
472.0	2344.0
473.0	2345.0
474.0	2401.0
475.0	2298.0
476.0	2329.0
477.0	2310.0
478.0	2234.0
479.0	2283.0
480.0	2298.0
481.0	2258.0
482.0	2176.0
483.0	2258.0
484.0	2391.0
485.0	2101.0
486.0	2249.0
487.0	2205.0
488.0	2123.0
489.0	2278.0
490.0	2128.0
491.0	2105.0
492.0	2122.0
493.0	2177.0
494.0	2098.0
495.0	2049.0
496.0	2019.0
497.0	1976.0
498.0	2090.0
499.0	2010.0
500.0	1976.0
501.0	1958.0
502.0	1968.0
503.0	1988.0
504.0	1909.0
505.0	1824.0
506.0	1849.0
507.0	1882.0
508.0	1873.0
509.0	1866.0
510.0	1882.0
511.0	1851.0
512.0	1798.0
513.0	1802.0
514.0	1829.0
515.0	1830.0
516.0	1749.0
517.0	1749.0
518.0	1766.0
519.0	1760.0
520.0	1771.0
521.0	1744.0
522.0	1717.0
523.0	1604.0
524.0	1627.0
525.0	1687.0
526.0	1725.0
527.0	1698.0
528.0	1609.0
529.0	1647.0
530.0	1643.0
531.0	1695.0
532.0	1577.0
533.0	1583.0
534.0	1568.0
535.0	1553.0
536.0	1576.0
537.0	1495.0
538.0	1509.0
539.0	1548.0
540.0	1495.0
541.0	1452.0
542.0	1487.0
543.0	1451.0
544.0	1391.0
545.0	1392.0
546.0	1404.0
547.0	1417.0
548.0	1451.0
549.0	1413.0
550.0	1387.0
551.0	1393.0
552.0	1406.0
553.0	1329.0
554.0	1335.0
555.0	1361.0
556.0	1260.0
557.0	1251.0
558.0	1188.0
559.0	1307.0
560.0	1226.0
561.0	1163.0
562.0	1207.0
563.0	1261.0
564.0	1189.0
565.0	1204.0
566.0	1188.0
567.0	1210.0
568.0	1171.0
569.0	1152.0
570.0	1183.0
571.0	1146.0
572.0	1141.0
573.0	1127.0
574.0	1091.0
575.0	1127.0
576.0	1114.0
577.0	1081.0
578.0	1069.0
579.0	1034.0
580.0	1049.0
581.0	1045.0
582.0	1063.0
583.0	1028.0
584.0	968.0
585.0	976.0
586.0	931.0
587.0	977.0
588.0	948.0
589.0	1008.0
590.0	899.0
591.0	864.0
592.0	981.0
593.0	950.0
594.0	925.0
595.0	898.0
596.0	943.0
597.0	919.0
598.0	788.0
599.0	812.0
600.0	814.0
601.0	861.0
602.0	785.0
603.0	822.0
604.0	806.0
605.0	791.0
606.0	756.0
607.0	847.0
608.0	737.0
609.0	675.0
610.0	744.0
611.0	746.0
612.0	756.0
613.0	712.0
614.0	734.0
615.0	692.0
616.0	684.0
617.0	717.0
618.0	691.0
619.0	695.0
620.0	674.0
621.0	674.0
622.0	610.0
623.0	647.0
624.0	599.0
625.0	638.0
626.0	624.0
627.0	639.0
628.0	621.0
629.0	530.0
630.0	631.0
631.0	597.0
632.0	564.0
633.0	569.0
634.0	550.0
635.0	552.0
636.0	537.0
637.0	539.0
638.0	544.0
639.0	517.0
640.0	469.0
641.0	516.0
642.0	528.0
643.0	445.0
644.0	481.0
645.0	445.0
646.0	418.0
647.0	451.0
648.0	480.0
649.0	462.0
650.0	433.0
651.0	439.0
652.0	419.0
653.0	443.0
654.0	426.0
655.0	438.0
656.0	404.0
657.0	450.0
658.0	401.0
659.0	385.0
660.0	380.0
661.0	393.0
662.0	364.0
663.0	352.0
664.0	368.0
665.0	380.0
666.0	365.0
667.0	368.0
668.0	371.0
669.0	312.0
670.0	352.0
671.0	318.0
672.0	332.0
673.0	339.0
674.0	353.0
675.0	311.0
676.0	295.0
677.0	334.0
678.0	293.0
679.0	312.0
680.0	333.0
681.0	260.0
682.0	273.0
683.0	272.0
684.0	267.0
685.0	259.0
686.0	242.0
687.0	272.0
688.0	259.0
689.0	251.0
690.0	257.0
691.0	237.0
692.0	229.0
693.0	249.0
694.0	217.0
695.0	237.0
696.0	208.0
697.0	243.0
698.0	208.0
699.0	217.0
700.0	197.0
701.0	226.0
702.0	210.0
703.0	233.0
704.0	195.0
705.0	185.0
706.0	200.0
707.0	184.0
708.0	178.0
709.0	172.0
710.0	188.0
711.0	181.0
712.0	160.0
713.0	159.0
714.0	149.0
715.0	132.0
716.0	162.0
717.0	168.0
718.0	147.0
719.0	148.0
720.0	153.0
721.0	131.0
722.0	152.0
723.0	146.0
724.0	139.0
725.0	150.0
726.0	128.0
727.0	122.0
728.0	127.0
729.0	107.0
730.0	123.0
731.0	104.0
732.0	121.0
733.0	113.0
734.0	104.0
735.0	108.0
736.0	103.0
737.0	123.0
738.0	111.0
739.0	97.0
740.0	100.0
741.0	102.0
742.0	101.0
743.0	94.0
744.0	88.0
745.0	85.0
746.0	91.0
747.0	95.0
748.0	93.0
749.0	89.0
750.0	82.0
751.0	68.0
752.0	68.0
753.0	86.0
754.0	83.0
755.0	72.0
756.0	73.0
757.0	88.0
758.0	59.0
759.0	56.0
760.0	70.0
761.0	62.0
762.0	64.0
763.0	69.0
764.0	50.0
765.0	54.0
766.0	57.0
767.0	55.0
768.0	67.0
769.0	65.0
770.0	53.0
771.0	58.0
772.0	65.0
773.0	51.0
774.0	49.0
775.0	40.0
776.0	41.0
777.0	40.0
778.0	59.0
779.0	34.0
780.0	53.0
781.0	57.0
782.0	46.0
783.0	42.0
784.0	46.0
785.0	46.0
786.0	46.0
