#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.757200568630104E-6
10.0	1.757200568630104E-6
11.0	0.0
12.0	0.0
13.0	1.0543203411780625E-5
14.0	1.0543203411780625E-5
15.0	2.987240966671177E-5
16.0	4.568721478438271E-5
17.0	3.338681080397198E-5
18.0	6.677362160794396E-5
19.0	1.440904466276685E-4
20.0	2.3897927733369415E-4
21.0	3.795553228241025E-4
22.0	5.763617865106741E-4
23.0	9.840323184328583E-4
24.0	0.0016201389242769559
25.0	0.002902895339376932
26.0	0.0035583311514759603
27.0	0.006350522855029196
28.0	0.009529298683681055
29.0	0.013096415838000166
30.0	0.017972647415948704
31.0	0.024535791539782144
32.0	0.031035676443144897
33.0	0.038974708612215705
34.0	0.047381156132542124
35.0	0.05507945182371061
36.0	0.06206783848515254
37.0	0.068550151382829
38.0	0.07018961951336089
39.0	0.07136694389434303
40.0	0.06902810993749638
41.0	0.06604438337196246
42.0	0.06006814423805147
43.0	0.05299189754817805
44.0	0.045353346676342984
45.0	0.03868477051839174
46.0	0.03161730983136146
47.0	0.025547939067313084
48.0	0.01998464206703017
49.0	0.01594308075918094
50.0	0.013027885015823592
51.0	0.011567651343291976
52.0	0.007246695145030549
53.0	0.005531667390047567
54.0	0.003647948380476096
55.0	0.0022580027306896835
56.0	0.0015111924890218896
57.0	0.0010859499514134043
58.0	6.905798234716309E-4
59.0	4.6038654898108717E-4
60.0	3.110245006475284E-4
61.0	2.565512830199952E-4
62.0	1.4584764719629862E-4
63.0	8.258842672561488E-5
64.0	4.920161592164292E-5
65.0	3.162961023534187E-5
66.0	3.338681080397197E-5
67.0	2.108640682356125E-5
68.0	1.757200568630104E-5
69.0	5.271601705890312E-6
70.0	1.757200568630104E-6
71.0	1.757200568630104E-6
72.0	0.0
73.0	0.0
74.0	0.0
75.0	3.514401137260208E-6
76.0	0.0
77.0	1.757200568630104E-6
78.0	1.757200568630104E-6
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.757200568630104E-6
98.0	0.0
99.0	0.0
100.0	7.028802274520416E-6
