#Mapping quality	mapping quality
0.0	134474.0
1.0	214697.0
2.0	45416.0
3.0	32044.0
4.0	25967.0
5.0	22532.0
6.0	19866.0
7.0	21370.0
8.0	22788.0
9.0	25742.0
10.0	36451.0
11.0	34379.0
12.0	20739.0
13.0	16993.0
14.0	16872.0
15.0	15506.0
16.0	16763.0
17.0	17278.0
18.0	17336.0
19.0	17380.0
20.0	16732.0
21.0	16262.0
22.0	15349.0
23.0	14462.0
24.0	13005.0
25.0	13422.0
26.0	12673.0
27.0	12609.0
28.0	12853.0
29.0	13015.0
30.0	14275.0
31.0	14462.0
32.0	14853.0
33.0	14824.0
34.0	15948.0
35.0	18730.0
36.0	21679.0
37.0	25065.0
38.0	33589.0
39.0	50237.0
40.0	117555.0
41.0	456405.0
42.0	2286623.0
43.0	7818894.0
44.0	246188.0
