#Duplication rate	Coverage
1.0	1778165.0
2.0	638951.0
3.0	231624.0
4.0	106838.0
5.0	50570.0
6.0	27357.0
7.0	14737.0
8.0	8809.0
9.0	5502.0
10.0	3431.0
11.0	2377.0
12.0	1663.0
13.0	1190.0
14.0	905.0
15.0	716.0
16.0	569.0
17.0	440.0
18.0	390.0
19.0	327.0
20.0	254.0
21.0	234.0
22.0	239.0
23.0	185.0
24.0	140.0
25.0	160.0
26.0	126.0
27.0	155.0
28.0	114.0
29.0	95.0
30.0	89.0
31.0	99.0
32.0	72.0
33.0	78.0
34.0	72.0
35.0	67.0
36.0	46.0
37.0	48.0
38.0	53.0
39.0	49.0
40.0	28.0
41.0	45.0
42.0	54.0
43.0	35.0
44.0	40.0
45.0	35.0
46.0	30.0
47.0	35.0
48.0	33.0
49.0	24.0
50.0	558.0
