#Coverage (X)	Coverage
1.0	99.93001623330555
2.0	99.92376474497834
3.0	99.91229819928347
4.0	99.8986518583166
5.0	99.87735566979146
6.0	99.85792670212193
7.0	99.83343073865036
8.0	99.80585015922787
9.0	99.77377015333832
10.0	99.73941164446634
11.0	99.69899906268803
12.0	99.6505582537948
13.0	99.5961045002079
14.0	99.5347987863887
15.0	99.46303005526399
16.0	99.37986058358466
17.0	99.28214817590208
18.0	99.16406085165835
19.0	99.03099463235696
20.0	98.8670411253337
21.0	98.6785752035538
22.0	98.45610447553098
23.0	98.19112362688321
24.0	97.87873017465918
25.0	97.51630013888997
26.0	97.0910097428623
27.0	96.59188597943343
28.0	96.0065081283743
29.0	95.34102074465919
30.0	94.58303601062917
31.0	93.7200098214172
32.0	92.74537811427967
33.0	91.6611068177827
34.0	90.46227699768983
35.0	89.13599084650498
36.0	87.67672895808666
37.0	86.0870166046933
38.0	84.37697132664397
39.0	82.53654961440245
40.0	80.57642012633764
41.0	78.49653350859435
42.0	76.31189333315785
43.0	74.01487442939747
44.0	71.63412671026532
45.0	69.18514728629884
46.0	66.67589035383014
47.0	64.14892361298189
48.0	61.58684160414836
49.0	59.010027469533256
50.0	56.43930031039463
51.0	53.87694685535743
