#Insert size (bp)	insert size
140.0	1.0
144.0	1.0
145.0	3.0
146.0	1.0
147.0	4.0
148.0	8.0
149.0	28.0
150.0	8038.0
151.0	15612.0
152.0	15619.0
153.0	15926.0
154.0	15948.0
155.0	15839.0
156.0	16084.0
157.0	15880.0
158.0	15728.0
159.0	15717.0
160.0	15377.0
161.0	15541.0
162.0	15492.0
163.0	15596.0
164.0	15572.0
165.0	15585.0
166.0	15595.0
167.0	15547.0
168.0	15574.0
169.0	15700.0
170.0	15272.0
171.0	15192.0
172.0	15266.0
173.0	14979.0
174.0	15341.0
175.0	15462.0
176.0	15128.0
177.0	15406.0
178.0	15129.0
179.0	15288.0
180.0	15026.0
181.0	14903.0
182.0	15007.0
183.0	14724.0
184.0	15129.0
185.0	14732.0
186.0	14759.0
187.0	14949.0
188.0	14589.0
189.0	14824.0
190.0	14508.0
191.0	14640.0
192.0	14407.0
193.0	14038.0
194.0	14195.0
195.0	14178.0
196.0	14182.0
197.0	14145.0
198.0	14064.0
199.0	14246.0
200.0	13972.0
201.0	13807.0
202.0	13810.0
203.0	13612.0
204.0	13601.0
205.0	13439.0
206.0	13455.0
207.0	13557.0
208.0	13592.0
209.0	13254.0
210.0	13381.0
211.0	13074.0
212.0	13376.0
213.0	12936.0
214.0	12899.0
215.0	12761.0
216.0	12811.0
217.0	12803.0
218.0	12781.0
219.0	12942.0
220.0	12640.0
221.0	12370.0
222.0	12279.0
223.0	12031.0
224.0	12156.0
225.0	11702.0
226.0	11868.0
227.0	11554.0
228.0	11685.0
229.0	12044.0
230.0	11504.0
231.0	11642.0
232.0	11386.0
233.0	11146.0
234.0	11268.0
235.0	10887.0
236.0	10943.0
237.0	10752.0
238.0	10884.0
239.0	10850.0
240.0	10852.0
241.0	10602.0
242.0	10483.0
243.0	10574.0
244.0	10250.0
245.0	10205.0
246.0	9877.0
247.0	9949.0
248.0	10036.0
249.0	9833.0
250.0	9790.0
251.0	10072.0
252.0	9677.0
253.0	9798.0
254.0	9347.0
255.0	9385.0
256.0	9065.0
257.0	8835.0
258.0	8973.0
259.0	8988.0
260.0	8839.0
261.0	8614.0
262.0	8690.0
263.0	8472.0
264.0	7938.0
265.0	7806.0
266.0	7405.0
267.0	7335.0
268.0	7190.0
269.0	7289.0
270.0	6993.0
271.0	6640.0
272.0	6637.0
273.0	6777.0
274.0	6658.0
275.0	6700.0
276.0	6690.0
277.0	6588.0
278.0	6663.0
279.0	6544.0
280.0	6476.0
281.0	6490.0
282.0	6416.0
283.0	6436.0
284.0	6357.0
285.0	6278.0
286.0	6393.0
287.0	6208.0
288.0	6137.0
289.0	6256.0
290.0	6089.0
291.0	6202.0
292.0	6059.0
293.0	6268.0
294.0	5984.0
295.0	6011.0
296.0	6048.0
297.0	6091.0
298.0	5994.0
299.0	5988.0
300.0	5768.0
301.0	6006.0
302.0	5783.0
303.0	5932.0
304.0	5940.0
305.0	5765.0
306.0	5713.0
307.0	5708.0
308.0	5629.0
309.0	5618.0
310.0	5547.0
311.0	5585.0
312.0	5564.0
313.0	5471.0
314.0	5370.0
315.0	5533.0
316.0	5435.0
317.0	5603.0
318.0	5507.0
319.0	5412.0
320.0	5292.0
321.0	5400.0
322.0	5254.0
323.0	5253.0
324.0	5332.0
325.0	5167.0
326.0	5246.0
327.0	5236.0
328.0	5176.0
329.0	5008.0
330.0	5036.0
331.0	5008.0
332.0	5080.0
333.0	5015.0
334.0	5019.0
335.0	4998.0
336.0	5009.0
337.0	4893.0
338.0	4944.0
339.0	4858.0
340.0	4811.0
341.0	4859.0
342.0	4817.0
343.0	4801.0
344.0	4623.0
345.0	4766.0
346.0	4709.0
347.0	4516.0
348.0	4713.0
349.0	4559.0
350.0	4539.0
351.0	4517.0
352.0	4435.0
353.0	4537.0
354.0	4364.0
355.0	4506.0
356.0	4411.0
357.0	4430.0
358.0	4337.0
359.0	4359.0
360.0	4298.0
361.0	4197.0
362.0	4096.0
363.0	4223.0
364.0	4116.0
365.0	4164.0
366.0	4065.0
367.0	4106.0
368.0	4140.0
369.0	4137.0
370.0	4061.0
371.0	4020.0
372.0	3909.0
373.0	3963.0
374.0	3974.0
375.0	3952.0
376.0	3948.0
377.0	3785.0
378.0	3984.0
379.0	3828.0
380.0	3779.0
381.0	3696.0
382.0	3781.0
383.0	3831.0
384.0	3864.0
385.0	3702.0
386.0	3660.0
387.0	3588.0
388.0	3554.0
389.0	3540.0
390.0	3551.0
391.0	3404.0
392.0	3490.0
393.0	3400.0
394.0	3437.0
395.0	3468.0
396.0	3411.0
397.0	3472.0
398.0	3376.0
399.0	3411.0
400.0	3352.0
401.0	3318.0
402.0	3306.0
403.0	3289.0
404.0	3199.0
405.0	3264.0
406.0	3169.0
407.0	3124.0
408.0	3132.0
409.0	3053.0
410.0	3030.0
411.0	3149.0
412.0	3088.0
413.0	3125.0
414.0	3042.0
415.0	2987.0
416.0	2961.0
417.0	2975.0
418.0	2950.0
419.0	2907.0
420.0	2765.0
421.0	2985.0
422.0	2709.0
423.0	2949.0
424.0	2764.0
425.0	2725.0
426.0	2814.0
427.0	2702.0
428.0	2700.0
429.0	2665.0
430.0	2695.0
431.0	2692.0
432.0	2610.0
433.0	2625.0
434.0	2627.0
435.0	2652.0
436.0	2549.0
437.0	2554.0
438.0	2459.0
439.0	2350.0
440.0	2505.0
441.0	2389.0
442.0	2424.0
443.0	2454.0
444.0	2294.0
445.0	2373.0
446.0	2298.0
447.0	2346.0
448.0	2279.0
449.0	2408.0
450.0	2284.0
451.0	2297.0
452.0	2252.0
453.0	2169.0
454.0	2230.0
455.0	2132.0
456.0	2180.0
457.0	2186.0
458.0	2242.0
459.0	2140.0
460.0	1990.0
461.0	2119.0
462.0	2153.0
463.0	2061.0
464.0	2058.0
465.0	2036.0
466.0	1947.0
467.0	1994.0
468.0	1933.0
469.0	1979.0
470.0	1895.0
471.0	1955.0
472.0	1911.0
473.0	1849.0
474.0	1970.0
475.0	1832.0
476.0	1871.0
477.0	1847.0
478.0	1914.0
479.0	1835.0
480.0	1756.0
481.0	1798.0
482.0	1729.0
483.0	1761.0
484.0	1628.0
485.0	1696.0
486.0	1727.0
487.0	1670.0
488.0	1679.0
489.0	1684.0
490.0	1602.0
491.0	1502.0
